drug_target1	drug_name	drug_gene	moa	enriched_pathway	drug_target2	tg_int_weight	disease_target1	disease_target2	drug_gene1	drug_gene2
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	positive regulation of macrophage derived foam cell differentiation	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	negative regulation of insulin secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	protein-lipid complex remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	humoral immune response mediated by circulating immunoglobulin	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	protein-containing complex remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	TSC22D3	HMGCR inhibitor	very-low-density lipoprotein particle assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	triglyceride-rich lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	regulation of superoxide anion generation	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	negative regulation of insulin secretion involved in cellular response to glucose stimulus	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	flagellated sperm motility	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	sperm motility	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	acute-phase response	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	positive regulation of skeletal muscle tissue development	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	bile acid and bile salt transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	TSC22D3	HMGCR inhibitor	sodium-independent organic anion transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	regulation of striated muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TSC22D3	HMGCR inhibitor	lipoprotein catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	low-density lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	striated muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	regulation of superoxide metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	regulation of cardiac muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	lipoprotein biosynthetic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	very-low-density lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	coenzyme A metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	plasma lipoprotein particle assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	regulation of skeletal muscle tissue development	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	very-low-density lipoprotein particle assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	lipoprotein catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	sodium-independent organic anion transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	striated muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	very-low-density lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of cardiac muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of striated muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	lipoprotein metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	triglyceride catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	cholesterol efflux	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	negative regulation of muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	fertilization	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	acylglycerol catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	regulation of insulin secretion involved in cellular response to glucose stimulus	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	interleukin-8 secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	artery morphogenesis	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	immunoglobulin mediated immune response	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	opsonization	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of interleukin-8 production	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	low-density lipoprotein particle remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	quinone metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	protein-lipid complex assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	thyroid hormone transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	regulation of cholesterol storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	TPM1	HMGCR inhibitor	neutral lipid catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	B cell mediated immunity	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of interleukin-8 secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	chylomicron remnant clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	triglyceride-rich lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of superoxide anion generation	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of insulin secretion involved in cellular response to glucose stimulus	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	flagellated sperm motility	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	sperm motility	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	acute-phase response	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	positive regulation of skeletal muscle tissue development	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	bile acid and bile salt transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of peptide hormone secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	plasma lipoprotein particle remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	humoral immune response mediated by circulating immunoglobulin	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	protein-containing complex remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of superoxide metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	lipoprotein biosynthetic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	plasma lipoprotein particle assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	coenzyme A metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	low-density lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of macrophage derived foam cell differentiation	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	myoblast differentiation	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	positive regulation of muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	artery development	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of insulin secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	protein-lipid complex remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	negative regulation of MAP kinase activity	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	chylomicron remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	opsonization	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	regulation of interleukin-8 production	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	low-density lipoprotein particle remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	quinone metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	protein-lipid complex assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	thyroid hormone transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	negative regulation of peptide hormone secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	plasma lipoprotein particle remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	B cell mediated immunity	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	regulation of interleukin-8 secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	chylomicron remnant clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	triglyceride-rich lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	regulation of superoxide anion generation	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	negative regulation of insulin secretion involved in cellular response to glucose stimulus	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	flagellated sperm motility	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	sperm motility	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	acute-phase response	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	positive regulation of skeletal muscle tissue development	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	bile acid and bile salt transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	negative regulation of insulin secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	protein-lipid complex remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	humoral immune response mediated by circulating immunoglobulin	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	protein-containing complex remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	regulation of superoxide metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	lipoprotein biosynthetic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	plasma lipoprotein particle assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	coenzyme A metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	low-density lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	negative regulation of macrophage derived foam cell differentiation	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	myoblast differentiation	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	positive regulation of muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	cholesterol storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	regulation of insulin secretion involved in cellular response to glucose stimulus	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	interleukin-8 secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	artery morphogenesis	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	immunoglobulin mediated immune response	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	positive regulation of cholesterol storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	positive regulation of macrophage derived foam cell differentiation	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	lipoprotein transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	insulin secretion involved in cellular response to glucose stimulus	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	cardiac muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	lipoprotein localization	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	superoxide anion generation	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of MAP kinase activity	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	chylomicron remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	regulation of skeletal muscle tissue development	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	glycerolipid catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	triglyceride-rich lipoprotein particle remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	positive regulation of superoxide anion generation	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	triglyceride mobilization	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	positive regulation of lipid storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	response to selenium ion	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	positive regulation of cardiac muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	positive regulation of striated muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	triglyceride catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	cholesterol efflux	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	regulation of cholesterol storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	neutral lipid catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	acylglycerol catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	very-low-density lipoprotein particle assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	lipoprotein catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	CSRP1	HMGCR inhibitor	sodium-independent organic anion transport	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	cholesterol storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of insulin secretion involved in cellular response to glucose stimulus	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	interleukin-8 secretion	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	artery morphogenesis	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	immunoglobulin mediated immune response	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	positive regulation of cholesterol storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	ubiquinone metabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	isoprenoid biosynthetic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	chylomicron assembly	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of striated muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	plasma lipoprotein particle clearance	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of lipid storage	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	negative regulation of muscle cell apoptotic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	fertilization	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	regulation of skeletal muscle tissue development	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	glycerolipid catabolic process	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	triglyceride-rich lipoprotein particle remodeling	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	positive regulation of superoxide anion generation	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	triglyceride mobilization	NA	NA	0	0	0	0
COQ2	rosuvastatin	RHOA	HMGCR inhibitor	positive regulation of lipid storage	NA	NA	0	0	0	0
