Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	2	1.2523768366464996	0.4681039654329395	1.24737284633049	0.35898449045572023	1	1
single strand break repair	GO:0000012		11	2	0.6560069144338807	1.1147311303579919	1.8337503473888441	0.13680088378701677	1	1
regulation of DNA recombination	GO:0000018		89	2	5.3076923076923075	-0.9760099665757773	0.36842034709198024	0.9676893975412668	1	1
mitotic spindle elongation	GO:0000022		8	0	0.47709593777009507	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	0	0.8945548833189283	-Inf	0	1	1	1
ribosomal small subunit assembly	GO:0000028		8	0	0.47709593777009507	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	1	1.431287813310285	-0.3585746077515283	0.6515778748644421	0.7716219026360857	1	1
transition metal ion transport	GO:0000041		55	1	3.280034572169404	-1.1878539626360538	0.3003391478815037	0.9662018686999265	1	1
autophagosome assembly	GO:0000045		52	1	3.101123595505618	-1.1317644959850102	0.31712169162063897	0.9593314009588841	1	1
urea cycle	GO:0000050		6	0	0.3578219533275713	-Inf	0	1	1	1
citrulline metabolic process	GO:0000052		5	0	0.29818496110630943	-Inf	0	1	1	1
mitotic sister chromatid segregation	GO:0000070		110	2	6.560069144338808	-1.1878539626360538	0.3003391478815037	0.9893498036678579	1	1
cell cycle checkpoint signaling	GO:0000075		106	2	6.32152117545376	-1.1508126909557046	0.3113259653079838	0.9874930685704608	1	1
DNA replication checkpoint signaling	GO:0000076		12	0	0.7156439066551425	-Inf	0	1	1	1
DNA damage checkpoint signaling	GO:0000077		72	0	4.293863439930856	-Inf	0	1	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	1	1.9083837510803803	-0.6462566802033094	0.5025776130233044	0.8604695407402949	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	4	2.4451166810717373	0.49220151701199993	1.2678652833947617	0.22686271901711205	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	1	1.9680207433016423	-0.6770283388700631	0.4884669667713254	0.8688060889902398	1	1
sulfur amino acid metabolic process	GO:0000096		25	0	1.490924805531547	-Inf	0	1	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	0.6560069144338807	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	0.41745894554883317	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	0	0.5963699222126189	-Inf	0	1	1	1
establishment of mitotic spindle orientation	GO:0000132		23	2	1.3716508210890233	0.3771321872272128	1.1712926050771226	0.4023622609196251	1	1
rRNA modification	GO:0000154		18	0	1.073465859982714	-Inf	0	1	1	1
MAPK cascade	GO:0000165		89	7	5.3076923076923075	0.27675300191959074	1.0898862898163444	0.2803664315823393	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	1	1.490924805531547	-0.3993966022717834	0.6285183908672412	0.7852605461518464	1	1
protein polyubiquitination	GO:0000209		193	7	11.509939498703543	-0.497300817253155	0.5758179857081891	0.938592446511946	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	2	0.6560069144338807	1.1147311303579919	1.8337503473888441	0.11635104360139194	1	1
spliceosomal complex assembly	GO:0000245		39	1	2.3258426966292136	-0.8440824235332293	0.4176991188985584	0.9093541037041408	1	1
mitochondrial fission	GO:0000266		9	0	0.536732929991357	-Inf	0	1	1	1
polysaccharide biosynthetic process	GO:0000271		10	3	0.5963699222126189	1.6155064182704812	2.318389692639946	0.018499084853936646	1	1
polysaccharide catabolic process	GO:0000272		5	1	0.29818496110630943	1.2100413101623169	1.9247104976017457	0.264704667597489	1	1
nuclear division	GO:0000280		153	2	9.12445980985307	-1.5178115182360732	0.21747279179085457	0.998877008141634	1	1
mitotic cytokinesis	GO:0000281		63	0	3.7571305099394987	-Inf	0	1	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	0	0.7156439066551425	-Inf	0	1	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	0	0.3578219533275713	-Inf	0	1	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	1	0.47709593777009507	0.7400376809165812	1.485768006586448	0.38860787324598745	1	1
response to reactive oxygen species	GO:0000302		82	3	4.890233362143475	-0.48862773599972625	0.5803389597684391	0.8742582318776451	1	1
response to superoxide	GO:0000303		11	1	0.6560069144338807	0.42158394979804664	1.2082079703344184	0.4916491213058758	1	1
response to oxygen radical	GO:0000305		12	1	0.7156439066551425	0.334572572808417	1.136436722611543	0.5219848662002731	1	1
protein deneddylation	GO:0000338		10	1	0.5963699222126189	0.5168941296023715	1.2890035329084677	0.42508627592024795	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	9	11.09248055315471	-0.2090428737805646	0.741514716360231	0.7292380629855097	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	9	10.794295592048401	-0.18179323133318923	0.758824415638695	0.704042832269641	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	1	0.7156439066551425	0.334572572808417	1.136436722611543	0.5219848662002731	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	2	2.2662057044079518	-0.12495975657002334	0.79582687653112	0.6707278839625441	1	1
spliceosomal snRNP assembly	GO:0000387		32	2	1.9083837510803803	0.046890500356635896	0.9149157349301392	0.541367720323958	1	1
mRNA 3'-splice site recognition	GO:0000389		5	0	0.29818496110630943	-Inf	0	1	1	1
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	0	0.47709593777009507	-Inf	0	1	1	1
mRNA splicing, via spliceosome	GO:0000398		181	9	10.794295592048401	-0.18179323133318923	0.758824415638695	0.704042832269641	1	1
autophagy of mitochondrion	GO:0000422		31	0	1.8487467588591184	-Inf	0	1	1	1
mitophagy	GO:0000423		25	0	1.490924805531547	-Inf	0	1	1	1
pexophagy	GO:0000425		6	1	0.3578219533275713	1.0277197533683624	1.751440100504094	0.3085681067350443	1	1
maturation of 5.8S rRNA	GO:0000460		10	0	0.5963699222126189	-Inf	0	1	1	1
small nucleolar ribonucleoprotein complex assembly	GO:0000491		6	0	0.3578219533275713	-Inf	0	1	1	1
box C/D snoRNP assembly	GO:0000492		5	0	0.29818496110630943	-Inf	0	1	1	1
embryonic axis specification	GO:0000578		9	0	0.536732929991357	-Inf	0	1	1	1
telomere maintenance via recombination	GO:0000722		8	0	0.47709593777009507	-Inf	0	1	1	1
telomere maintenance	GO:0000723		65	1	3.8764044943820224	-1.3549080472992199	0.25519216653290605	0.9766591585318984	1	1
double-strand break repair via homologous recombination	GO:0000724		76	4	4.5324114088159035	-0.12495975657002334	0.79582687653112	0.6715682492211799	1	1
recombinational repair	GO:0000725		78	4	4.651685393258427	-0.150935242973284	0.7787647898061162	0.6913692712865901	1	1
DNA double-strand break processing	GO:0000729		17	0	1.013828867761452	-Inf	0	1	1	1
DNA synthesis involved in DNA repair	GO:0000731		31	0	1.8487467588591184	-Inf	0	1	1	1
syncytium formation by plasma membrane fusion	GO:0000768		13	0	0.7752808988764045	-Inf	0	1	1	1
sister chromatid segregation	GO:0000819		112	2	6.679343128781331	-1.205872468138732	0.2951276586261294	0.9904351984216688	1	1
cell morphogenesis	GO:0000902		114	3	6.798617113223855	-0.8181069371299686	0.4280721636394018	0.9681064352215087	1	1
cytokinesis	GO:0000910		69	0	4.114952463267071	-Inf	0	1	1	1
nuclear-transcribed mRNA catabolic process	GO:0000956		62	1	3.697493517718237	-1.3076551624486743	0.2672604475322189	0.9751734407631725	1	1
mitochondrial RNA catabolic process	GO:0000957		6	0	0.3578219533275713	-Inf	0	1	1	1
mitochondrial RNA metabolic process	GO:0000959		35	2	2.087294727744166	-0.04272165833305112	0.8514896900359238	0.610121870624095	1	1
mitochondrial RNA processing	GO:0000963		18	0	1.073465859982714	-Inf	0	1	1	1
mitochondrial RNA 3'-end processing	GO:0000965		7	0	0.41745894554883317	-Inf	0	1	1	1
RNA 5'-end processing	GO:0000966		22	1	1.3120138288677614	-0.27156323076189864	0.7028683475189414	0.7252911054141776	1	1
response to acid chemical	GO:0001101		38	1	2.2662057044079518	-0.8181069371299686	0.4280721636394018	0.8974640011231786	1	1
promoter clearance during DNA-templated transcription	GO:0001109		7	0	0.41745894554883317	-Inf	0	1	1	1
RNA polymerase II promoter clearance	GO:0001111		7	0	0.41745894554883317	-Inf	0	1	1	1
formation of extrachromosomal circular DNA	GO:0001325		10	0	0.5963699222126189	-Inf	0	1	1	1
guanine nucleotide transport	GO:0001408		8	0	0.47709593777009507	-Inf	0	1	1	1
skeletal system development	GO:0001501		141	3	8.408815903197926	-1.0306683791136415	0.34960321871567634	0.990801237500132	1	1
ossification	GO:0001503		48	4	2.86257562662057	0.334572572808417	1.136436722611543	0.3209172701115852	1	1
neurotransmitter uptake	GO:0001504		19	0	1.1331028522039759	-Inf	0	1	1	1
action potential	GO:0001508		54	1	3.2203975799481417	-1.1695048239678572	0.30573530084961315	0.9617640426977476	1	1
RNA methylation	GO:0001510		47	0	2.802938634399309	-Inf	0	1	1	1
prostaglandin biosynthetic process	GO:0001516		13	1	0.7752808988764045	0.2545298651348804	1.0722503896309843	0.550511975897714	1	1
pseudouridine synthesis	GO:0001522		12	0	0.7156439066551425	-Inf	0	1	1	1
retinoid metabolic process	GO:0001523		55	6	3.280034572169404	0.6039055065920012	1.3645577405121263	0.06987293884109153	1	1
angiogenesis	GO:0001525		88	2	5.248055315471046	-0.964710411321844	0.3724244328648848	0.969325595075064	1	1
cilium or flagellum-dependent cell motility	GO:0001539		40	2	2.3854796888504755	-0.17625305095757385	0.7623780535284829	0.6980511697712262	1	1
ovarian follicle development	GO:0001541		6	0	0.3578219533275713	-Inf	0	1	1	1
fatty acid alpha-oxidation	GO:0001561		6	1	0.3578219533275713	1.0277197533683624	1.751440100504094	0.21806145424638523	1	1
response to protozoan	GO:0001562		5	1	0.29818496110630943	1.2100413101623169	1.9247104976017457	0.21806145424638523	1	1
blood vessel development	GO:0001568		113	3	6.7389801210025935	-0.8092963074478138	0.43164222874000224	0.9665924851275578	1	1
vasculogenesis	GO:0001570		10	0	0.5963699222126189	-Inf	0	1	1	1
ganglioside metabolic process	GO:0001573		15	0	0.8945548833189283	-Inf	0	1	1	1
ganglioside biosynthetic process	GO:0001574		8	0	0.47709593777009507	-Inf	0	1	1	1
microtubule bundle formation	GO:0001578		60	1	3.578219533275713	-1.2748653396256835	0.27595293607036203	0.9751734407631725	1	1
detection of chemical stimulus involved in sensory perception of bitter taste	GO:0001580		33	1	1.9680207433016423	-0.6770283388700631	0.4884669667713254	0.8101450798215182	1	1
osteoblast differentiation	GO:0001649		22	1	1.3120138288677614	-0.27156323076189864	0.7028683475189414	0.7416937652674329	1	1
eye development	GO:0001654		53	2	3.16076058772688	-0.45766551039575937	0.5967119030304446	0.8076652854481506	1	1
metanephros development	GO:0001656		5	0	0.29818496110630943	-Inf	0	1	1	1
ureteric bud development	GO:0001657		6	0	0.3578219533275713	-Inf	0	1	1	1
response to hypoxia	GO:0001666		94	4	5.605877268798618	-0.3375211985536961	0.6637211195944078	0.7993077147703674	1	1
ameboidal-type cell migration	GO:0001667		30	1	1.7891097666378566	-0.5817181590657382	0.5332965628397924	0.8421753138251749	1	1
long-chain fatty acid metabolic process	GO:0001676		76	9	4.5324114088159035	0.6859704596463054	1.4372210430760017	0.03139339297306252	1	1
intracellular glucose homeostasis	GO:0001678		19	2	1.1331028522039759	0.568187423989922	1.3333478542152586	0.31450081951374254	1	1
tRNA 5'-leader removal	GO:0001682		11	1	0.6560069144338807	0.42158394979804664	1.2082079703344184	0.4916491213058758	1	1
histamine metabolic process	GO:0001692		5	0	0.29818496110630943	-Inf	0	1	1	1
in utero embryonic development	GO:0001701		7	1	0.41745894554883317	0.8735690735411039	1.6076846232350703	0.3498172859113218	1	1
formation of primary germ layer	GO:0001704		18	1	1.073465859982714	-0.0708925352997476	0.8321434517338835	0.6262871560116201	1	1
endoderm formation	GO:0001706		13	1	0.7752808988764045	0.2545298651348804	1.0722503896309843	0.5219848662002731	1	1
mesoderm formation	GO:0001707		6	0	0.3578219533275713	-Inf	0	1	1	1
cell fate specification	GO:0001708		6	0	0.3578219533275713	-Inf	0	1	1	1
cell fate determination	GO:0001709		8	0	0.47709593777009507	-Inf	0	1	1	1
morphogenesis of a polarized epithelium	GO:0001738		16	0	0.9541918755401901	-Inf	0	1	1	1
morphogenesis of a branching structure	GO:0001763		15	0	0.8945548833189283	-Inf	0	1	1	1
neuron migration	GO:0001764		17	2	1.013828867761452	0.6794130591001465	1.4313682831267043	0.26936434059852976	1	1
membrane raft assembly	GO:0001765		8	0	0.47709593777009507	-Inf	0	1	1	1
immunological synapse formation	GO:0001771		5	0	0.29818496110630943	-Inf	0	1	1	1
myeloid dendritic cell activation	GO:0001773		6	1	0.3578219533275713	1.0277197533683624	1.751440100504094	0.3085681067350443	1	1
microglial cell activation	GO:0001774		6	0	0.3578219533275713	-Inf	0	1	1	1
leukocyte homeostasis	GO:0001776		10	0	0.5963699222126189	-Inf	0	1	1	1
plasma membrane repair	GO:0001778		17	0	1.013828867761452	-Inf	0	1	1	1
cytokine production	GO:0001816		10	1	0.5963699222126189	0.5168941296023715	1.2890035329084677	0.45939019062234343	1	1
negative regulation of cytokine production	GO:0001818		183	5	10.913569576490925	-0.7805690178109034	0.44346613841517285	0.9846984001942265	1	1
kidney development	GO:0001822		46	0	2.7433016421780465	-Inf	0	1	1	1
mesonephros development	GO:0001823		6	0	0.3578219533275713	-Inf	0	1	1	1
release of cytochrome c from mitochondria	GO:0001836		10	2	0.5963699222126189	1.2100413101623169	1.9247104976017457	0.11635104360139194	1	1
epithelial to mesenchymal transition	GO:0001837		39	0	2.3258426966292136	-Inf	0	1	1	1
phagolysosome assembly	GO:0001845		7	0	0.41745894554883317	-Inf	0	1	1	1
complement activation, lectin pathway	GO:0001867		9	0	0.536732929991357	-Inf	0	1	1	1
response to yeast	GO:0001878		8	0	0.47709593777009507	-Inf	0	1	1	1
receptor recycling	GO:0001881		14	1	0.8349178910976663	0.1804218929811586	1.0145143403853916	0.577338184232731	1	1
endothelial cell development	GO:0001885		28	0	1.6698357821953327	-Inf	0	1	1	1
liver development	GO:0001889		10	1	0.5963699222126189	0.5168941296023715	1.2890035329084677	0.42508627592024795	1	1
placenta development	GO:0001890		14	0	0.8349178910976663	-Inf	0	1	1	1
maternal placenta development	GO:0001893		7	0	0.41745894554883317	-Inf	0	1	1	1
tissue homeostasis	GO:0001894		58	0	3.4589455488331895	-Inf	0	1	1	1
retina homeostasis	GO:0001895		26	0	1.550561797752809	-Inf	0	1	1	1
cell killing	GO:0001906		119	4	7.096802074330164	-0.5733499093952216	0.537392433365377	0.8879481973777226	1	1
leukocyte mediated cytotoxicity	GO:0001909		38	2	2.2662057044079518	-0.12495975657002334	0.79582687653112	0.6414338855490629	1	1
regulation of leukocyte mediated cytotoxicity	GO:0001910		55	5	3.280034572169404	0.42158394979804653	1.2082079703344184	0.2294058909267669	1	1
negative regulation of leukocyte mediated cytotoxicity	GO:0001911		25	3	1.490924805531547	0.6992156863963261	1.4490665963753917	0.18469408895126485	1	1
positive regulation of leukocyte mediated cytotoxicity	GO:0001912		32	2	1.9083837510803803	0.046890500356635896	0.9149157349301392	0.5767658873127404	1	1
T cell mediated cytotoxicity	GO:0001913		6	0	0.3578219533275713	-Inf	0	1	1	1
regulation of T cell mediated cytotoxicity	GO:0001914		21	1	1.2523768366464996	-0.22504321512700584	0.7314822328457307	0.7252911054141776	1	1
negative regulation of T cell mediated cytotoxicity	GO:0001915		7	0	0.41745894554883317	-Inf	0	1	1	1
positive regulation of T cell mediated cytotoxicity	GO:0001916		13	1	0.7752808988764045	0.2545298651348804	1.0722503896309843	0.550511975897714	1	1
regulation of receptor recycling	GO:0001919		15	0	0.8945548833189283	-Inf	0	1	1	1
negative regulation of receptor recycling	GO:0001920		5	0	0.29818496110630943	-Inf	0	1	1	1
positive regulation of receptor recycling	GO:0001921		8	0	0.47709593777009507	-Inf	0	1	1	1
negative regulation of protein phosphorylation	GO:0001933		93	6	5.546240276577355	0.07863919867121631	0.9380580938693825	0.4609423711848306	1	1
endothelial cell proliferation	GO:0001935		17	2	1.013828867761452	0.6794130591001465	1.4313682831267043	0.24672967692866613	1	1
regulation of endothelial cell proliferation	GO:0001936		103	7	6.142610198789973	0.13066038342209496	0.9767115535354156	0.417295990357168	1	1
negative regulation of endothelial cell proliferation	GO:0001937		34	3	2.027657735522904	0.39173098664836553	1.1833600020769497	0.3309500146294918	1	1
positive regulation of endothelial cell proliferation	GO:0001938		65	3	3.8764044943820224	-0.25629575863111026	0.7121679284783188	0.7527084266014538	1	1
postsynaptic membrane organization	GO:0001941		5	0	0.29818496110630943	-Inf	0	1	1	1
hair follicle development	GO:0001942		9	0	0.536732929991357	-Inf	0	1	1	1
vasculature development	GO:0001944		128	3	7.633535004321521	-0.9339387526550902	0.3835306950136451	0.9835338005584267	1	1
lymph vessel development	GO:0001945		9	1	0.536732929991357	0.6222546452601977	1.380691833693785	0.42508627592024795	1	1
lymphangiogenesis	GO:0001946		6	0	0.3578219533275713	-Inf	0	1	1	1
heart looping	GO:0001947		7	0	0.41745894554883317	-Inf	0	1	1	1
regulation of cell-matrix adhesion	GO:0001952		85	6	5.06914433880726	0.16858743533415574	1.0054520881247555	0.39649802003582924	1	1
negative regulation of cell-matrix adhesion	GO:0001953		24	3	1.431287813310285	0.7400376809165814	1.4857680065864483	0.16955641518919684	1	1
positive regulation of cell-matrix adhesion	GO:0001954		40	4	2.3854796888504755	0.5168941296023715	1.2890035329084677	0.21400885345848944	1	1
regulation of cytokine-mediated signaling pathway	GO:0001959		125	10	7.454624027657736	0.29375057828816176	1.1034723865134226	0.19195341178644099	1	1
negative regulation of cytokine-mediated signaling pathway	GO:0001960		59	5	3.518582541054451	0.3513796911247982	1.150143137972327	0.26339645535933315	1	1
positive regulation of cytokine-mediated signaling pathway	GO:0001961		46	4	2.7433016421780465	0.3771321872272128	1.1712926050771226	0.2664698472209812	1	1
regulation of systemic arterial blood pressure by hormone	GO:0001990		17	2	1.013828867761452	0.6794130591001465	1.4313682831267043	0.26936434059852976	1	1
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	GO:0001991		7	1	0.41745894554883317	0.8735690735411039	1.6076846232350703	0.3498172859113218	1	1
regulation of angiotensin levels in blood	GO:0002002		7	1	0.41745894554883317	0.8735690735411039	1.6076846232350703	0.3498172859113218	1	1
angiotensin maturation	GO:0002003		7	1	0.41745894554883317	0.8735690735411039	1.6076846232350703	0.3498172859113218	1	1
morphogenesis of an epithelium	GO:0002009		80	2	4.770959377700951	-0.8694002315175191	0.40780519002199705	0.9512184107685802	1	1
morphogenesis of an epithelial sheet	GO:0002011		20	2	1.1927398444252377	0.5168941296023715	1.2890035329084677	0.3368554922425201	1	1
regulation of the force of heart contraction	GO:0002026		12	2	0.7156439066551425	1.0277197533683624	1.751440100504094	0.15795592746751155	1	1
regulation of heart rate	GO:0002027		58	4	3.4589455488331895	0.14533057316988834	0.9877733044083488	0.4307814627412878	1	1
regulation of sodium ion transport	GO:0002028		34	3	2.027657735522904	0.39173098664836553	1.1833600020769497	0.2976425936673504	1	1
desensitization of G protein-coupled receptor signaling pathway	GO:0002029		7	0	0.41745894554883317	-Inf	0	1	1	1
G protein-coupled receptor internalization	GO:0002031		6	0	0.3578219533275713	-Inf	0	1	1	1
sprouting angiogenesis	GO:0002040		31	1	1.8487467588591184	-0.614507981888729	0.5174977166228136	0.8516038015706839	1	1
cell migration involved in sprouting angiogenesis	GO:0002042		15	0	0.8945548833189283	-Inf	0	1	1	1
chondrocyte differentiation	GO:0002062		9	0	0.536732929991357	-Inf	0	1	1	1
epithelial cell development	GO:0002064		42	1	2.504753673292999	-0.9181903956869512	0.3893303798201431	0.9246568347592015	1	1
columnar/cuboidal epithelial cell differentiation	GO:0002065		14	0	0.8349178910976663	-Inf	0	1	1	1
regulation of oxidative phosphorylation	GO:0002082		12	0	0.7156439066551425	-Inf	0	1	1	1
protein depalmitoylation	GO:0002084		7	1	0.41745894554883317	0.8735690735411039	1.6076846232350703	0.3498172859113218	1	1
regulation of receptor internalization	GO:0002090		41	2	2.4451166810717373	-0.20094566354794535	0.746628889035673	0.6980511697712262	1	1
negative regulation of receptor internalization	GO:0002091		12	1	0.7156439066551425	0.334572572808417	1.136436722611543	0.5219848662002731	1	1
positive regulation of receptor internalization	GO:0002092		21	1	1.2523768366464996	-0.22504321512700584	0.7314822328457307	0.7252911054141776	1	1
tRNA wobble base modification	GO:0002097		8	0	0.47709593777009507	-Inf	0	1	1	1
tRNA wobble uridine modification	GO:0002098		6	0	0.3578219533275713	-Inf	0	1	1	1
store-operated calcium entry	GO:0002115		8	0	0.47709593777009507	-Inf	0	1	1	1
desmosome assembly	GO:0002159		6	0	0.3578219533275713	-Inf	0	1	1	1
cytoplasmic translation	GO:0002181		100	6	5.963699222126188	0.006068505836380879	0.8856711721522293	0.543743658745327	1	1
cytoplasmic translational initiation	GO:0002183		18	1	1.073465859982714	-0.0708925352997476	0.8321434517338835	0.6695721274476536	1	1
somatic diversification of immune receptors	GO:0002200		12	2	0.7156439066551425	1.0277197533683624	1.751440100504094	0.15795592746751155	1	1
activation of innate immune response	GO:0002218		128	3	7.633535004321521	-0.9339387526550902	0.3835306950136451	0.9818798506159081	1	1
innate immune response activating cell surface receptor signaling pathway	GO:0002220		48	1	2.86257562662057	-1.0517217883114736	0.34259453113375954	0.9373782469264318	1	1
pattern recognition receptor signaling pathway	GO:0002221		94	2	5.605877268798618	-1.0306683791136415	0.34960321871567634	0.9763785610953493	1	1
stimulatory C-type lectin receptor signaling pathway	GO:0002223		16	0	0.9541918755401901	-Inf	0	1	1	1
toll-like receptor signaling pathway	GO:0002224		29	2	1.7294727744165947	0.14533057316988834	0.9877733044083488	0.5039645774907426	1	1
innate immune response in mucosa	GO:0002227		16	1	0.9541918755401901	0.046890500356635896	0.9149157349301392	0.6262871560116201	1	1
natural killer cell mediated immunity	GO:0002228		31	2	1.8487467588591184	0.07863919867121631	0.9380580938693825	0.5593206814599039	1	1
positive regulation of defense response to virus by host	GO:0002230		28	1	1.6698357821953327	-0.5127252875787867	0.5678482122747733	0.8101450798215182	1	1
response to molecule of bacterial origin	GO:0002237		103	10	6.142610198789973	0.4873353273608272	1.263716115883966	0.0785704531496148	1	1
hematopoietic progenitor cell differentiation	GO:0002244		15	2	0.8945548833189283	0.8045762020541525	1.544354637847348	0.22416537352586705	1	1
adaptive immune response	GO:0002250		58	4	3.4589455488331895	0.14533057316988834	0.9877733044083488	0.4307814627412878	1	1
organ or tissue specific immune response	GO:0002251		19	1	1.1331028522039759	-0.12495975657002334	0.79582687653112	0.6892983112217597	1	1
immune effector process	GO:0002252		160	9	9.541918755401902	-0.05847001530119034	0.8406390668216888	0.5816137493089439	1	1
lymphocyte homeostasis	GO:0002260		6	0	0.3578219533275713	-Inf	0	1	1	1
myeloid cell homeostasis	GO:0002262		31	0	1.8487467588591184	-Inf	0	1	1	1
cell activation involved in immune response	GO:0002263		59	4	3.518582541054451	0.12823613981058837	0.9748903592911015	0.4576782728585135	1	1
leukocyte activation involved in inflammatory response	GO:0002269		6	0	0.3578219533275713	-Inf	0	1	1	1
myeloid leukocyte activation	GO:0002274		59	3	3.518582541054451	-0.15944593264119256	0.7732294297576588	0.6803835613322036	1	1
myeloid cell activation involved in immune response	GO:0002275		22	2	1.3120138288677614	0.42158394979804664	1.2082079703344184	0.35898449045572023	1	1
eosinophil activation involved in immune response	GO:0002278		5	1	0.29818496110630943	1.2100413101623169	1.9247104976017457	0.264704667597489	1	1
mast cell activation involved in immune response	GO:0002279		8	1	0.47709593777009507	0.7400376809165812	1.485768006586448	0.3498172859113218	1	1
macrophage activation involved in immune response	GO:0002281		6	0	0.3578219533275713	-Inf	0	1	1	1
neutrophil activation involved in immune response	GO:0002283		5	0	0.29818496110630943	-Inf	0	1	1	1
lymphocyte activation involved in immune response	GO:0002285		34	2	2.027657735522904	-0.013734121459798864	0.8716955169673959	0.610121870624095	1	1
T cell activation involved in immune response	GO:0002286		24	2	1.431287813310285	0.334572572808417	1.136436722611543	0.42352642871330026	1	1
alpha-beta T cell activation involved in immune response	GO:0002287		19	2	1.1331028522039759	0.568187423989922	1.3333478542152586	0.31450081951374254	1	1
T cell differentiation involved in immune response	GO:0002292		19	2	1.1331028522039759	0.568187423989922	1.3333478542152586	0.31450081951374254	1	1
alpha-beta T cell differentiation involved in immune response	GO:0002293		19	2	1.1331028522039759	0.568187423989922	1.3333478542152586	0.31450081951374254	1	1
CD4-positive, alpha-beta T cell differentiation involved in immune response	GO:0002294		18	2	1.073465859982714	0.6222546452601977	1.380691833693785	0.291980808938777	1	1
T-helper cell lineage commitment	GO:0002295		6	0	0.3578219533275713	-Inf	0	1	1	1
natural killer cell activation involved in immune response	GO:0002323		6	0	0.3578219533275713	-Inf	0	1	1	1
response to tumor cell	GO:0002347		20	0	1.1927398444252377	-Inf	0	1	1	1
defense response to tumor cell	GO:0002357		11	0	0.6560069144338807	-Inf	0	1	1	1
T cell lineage commitment	GO:0002360		8	0	0.47709593777009507	-Inf	0	1	1	1
alpha-beta T cell lineage commitment	GO:0002363		7	0	0.41745894554883317	-Inf	0	1	1	1
leukocyte activation involved in immune response	GO:0002366		55	4	3.280034572169404	0.19844039848383682	1.028396702319152	0.4035393575871029	1	1
immunoglobulin production	GO:0002377		7	0	0.41745894554883317	-Inf	0	1	1	1
mucosal immune response	GO:0002385		17	1	1.013828867761452	-0.013734121459798864	0.8716955169673959	0.6485948319749383	1	1
MHC protein complex assembly	GO:0002396		10	1	0.5963699222126189	0.5168941296023715	1.2890035329084677	0.45939019062234343	1	1
MHC class I protein complex assembly	GO:0002397		6	0	0.3578219533275713	-Inf	0	1	1	1
dendritic cell chemotaxis	GO:0002407		12	1	0.7156439066551425	0.334572572808417	1.136436722611543	0.5219848662002731	1	1
immune response to tumor cell	GO:0002418		5	0	0.29818496110630943	-Inf	0	1	1	1
immune response-activating cell surface receptor signaling pathway	GO:0002429		141	8	8.408815903197926	-0.049839126101915196	0.8465746373536851	0.5676774511784899	1	1
complement receptor mediated signaling pathway	GO:0002430		6	1	0.3578219533275713	1.0277197533683624	1.751440100504094	0.3085681067350443	1	1
Fc receptor mediated stimulatory signaling pathway	GO:0002431		22	2	1.3120138288677614	0.42158394979804664	1.2082079703344184	0.3808352484958174	1	1
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	GO:0002433		22	2	1.3120138288677614	0.42158394979804664	1.2082079703344184	0.3808352484958174	1	1
inflammatory response to antigenic stimulus	GO:0002437		6	0	0.3578219533275713	-Inf	0	1	1	1
production of molecular mediator of immune response	GO:0002440		8	0	0.47709593777009507	-Inf	0	1	1	1
leukocyte mediated immunity	GO:0002443		75	6	4.472774416594642	0.2937505782881616	1.1034723865134226	0.258328697433235	1	1
myeloid leukocyte mediated immunity	GO:0002444		24	2	1.431287813310285	0.334572572808417	1.136436722611543	0.4023622609196251	1	1
neutrophil mediated immunity	GO:0002446		13	0	0.7752808988764045	-Inf	0	1	1	1
eosinophil mediated immunity	GO:0002447		5	1	0.29818496110630943	1.2100413101623169	1.9247104976017457	0.264704667597489	1	1
mast cell mediated immunity	GO:0002448		8	1	0.47709593777009507	0.7400376809165812	1.485768006586448	0.3498172859113218	1	1
lymphocyte mediated immunity	GO:0002449		56	4	3.3396715643906654	0.1804218929811586	1.0145143403853916	0.4035393575871029	1	1
humoral immune response mediated by circulating immunoglobulin	GO:0002455		6	0	0.3578219533275713	-Inf	0	1	1	1
