Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitochondrial genome maintenance	GO:0000002		21	3	3.2041486603284355	-0.06583413781632542	0.8355960489627585	0.6419396138514497	1	1
single strand break repair	GO:0000012		11	0	1.6783635839815616	-Inf	0	1	1	1
regulation of DNA recombination	GO:0000018		89	7	13.57948717948718	-0.6626502094378387	0.4950175263291762	0.9834370231730776	1	1
mitotic spindle elongation	GO:0000022		8	0	1.2206280610774993	-Inf	0	1	1	1
ribosomal large subunit assembly	GO:0000027		15	1	2.2886776145203114	-0.8279741898632222	0.4241050878868818	0.8838707701846065	1	1
ribosomal small subunit assembly	GO:0000028		8	0	1.2206280610774993	-Inf	0	1	1	1
very long-chain fatty acid metabolic process	GO:0000038		24	2	3.6618841832324978	-0.6048306385490125	0.5221191247758665	0.9000679320078683	1	1
transition metal ion transport	GO:0000041		55	4	8.391817919907808	-0.7409628128735926	0.46023434802859986	0.9765979461944381	1	1
autophagosome assembly	GO:0000045		52	3	7.9340823970037455	-0.9725554186743299	0.3696402963161101	0.9903427773495568	1	1
urea cycle	GO:0000050		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
citrulline metabolic process	GO:0000052		5	1	0.762892538173437	0.2706380988048874	1.0850191594141116	0.5630293099809426	1	1
mitotic sister chromatid segregation	GO:0000070		110	2	16.783635839815616	-2.1272571739934834	0.11888345787140159	0.9999996103095432	1	1
cell cycle checkpoint signaling	GO:0000075		106	7	16.173321809276864	-0.837452933817766	0.420325037311524	0.9975522357506841	1	1
DNA replication checkpoint signaling	GO:0000076		12	1	1.8309420916162489	-0.6048306385490125	0.5221191247758665	0.8629445911746603	1	1
DNA damage checkpoint signaling	GO:0000077		72	4	10.985652549697495	-1.010295746657177	0.35651104037122416	0.9962378966346577	1	1
regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0000079		32	3	4.882512244309997	-0.48704760289262916	0.5811657042866456	0.885963005253102	1	1
G1/S transition of mitotic cell cycle	GO:0000082		41	1	6.255718813022184	-1.83349605546532	0.15918064747189176	0.9988821653344704	1	1
G2/M transition of mitotic cell cycle	GO:0000086		33	2	5.035090751944685	-0.923284369667547	0.38744576696381733	0.9706793462025214	1	1
sulfur amino acid metabolic process	GO:0000096		25	2	3.814462690867185	-0.6456526330692677	0.5028580430466215	0.9124661074694791	1	1
sulfur amino acid biosynthetic process	GO:0000097		11	0	1.6783635839815616	-Inf	0	1	1	1
sulfur amino acid catabolic process	GO:0000098		7	0	1.0680495534428118	-Inf	0	1	1	1
sulfur amino acid transport	GO:0000101		10	1	1.525785076346874	-0.4225090817550579	0.6157465744382757	0.809106161436087	1	1
establishment of mitotic spindle orientation	GO:0000132		23	3	3.5093056755978105	-0.1568059160220522	0.7749435904019583	0.7040075485127852	1	1
rRNA modification	GO:0000154		18	1	2.7464131374243737	-1.010295746657177	0.35651104037122416	0.94928917505166	1	1
MAPK cascade	GO:0000165		89	7	13.57948717948718	-0.6626502094378387	0.4950175263291762	0.9877895725542012	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184		25	1	3.814462690867185	-1.338799813629213	0.2592464109494379	0.9841096380694876	1	1
protein polyubiquitination	GO:0000209		193	9	29.447651973494672	-1.1853896003296784	0.30105862319579046	0.9999988290856541	1	1
spliceosomal tri-snRNP complex assembly	GO:0000244		11	1	1.6783635839815616	-0.5178192615593828	0.5652359489391813	0.809106161436087	1	1
spliceosomal complex assembly	GO:0000245		39	5	5.950561797752809	-0.17404772245655822	0.7637958404453845	0.7305339515380946	1	1
mitochondrial fission	GO:0000266		9	2	1.3732065687121868	0.37599861446271365	1.170357932931198	0.35098742461525434	1	1
polysaccharide biosynthetic process	GO:0000271		10	0	1.525785076346874	-Inf	0	1	1	1
polysaccharide catabolic process	GO:0000272		5	0	0.762892538173437	-Inf	0	1	1	1
nuclear division	GO:0000280		153	5	23.344511668107177	-1.5409239977193474	0.21257842854287506	0.9999995003229423	1	1
mitotic cytokinesis	GO:0000281		63	5	9.612445980985306	-0.6536208027184445	0.49916948066240496	0.9661020743493989	1	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288		12	0	1.8309420916162489	-Inf	0	1	1	1
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289		6	0	0.9154710458081244	-Inf	0	1	1	1
retrograde transport, vesicle recycling within Golgi	GO:0000301		8	0	1.2206280610774993	-Inf	0	1	1	1
response to reactive oxygen species	GO:0000302		82	7	12.511437626044367	-0.5807330869699521	0.5337773569131969	0.9753731651612629	1	1
response to superoxide	GO:0000303		11	0	1.6783635839815616	-Inf	0	1	1	1
response to oxygen radical	GO:0000305		12	0	1.8309420916162489	-Inf	0	1	1	1
protein deneddylation	GO:0000338		10	2	1.525785076346874	0.2706380988048874	1.0850191594141116	0.40945159541222576	1	1
RNA splicing, via transesterification reactions	GO:0000375		186	27	28.379602420051857	-0.049833796469884256	0.8465783109448995	0.5201676426869681	1	1
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377		181	27	27.61670988187842	-0.022584154022508848	0.8654946770104833	0.46857781016621225	1	1
alternative mRNA splicing, via spliceosome	GO:0000380		12	1	1.8309420916162489	-0.6048306385490125	0.5221191247758665	0.8629445911746603	1	1
regulation of alternative mRNA splicing, via spliceosome	GO:0000381		38	3	5.797983290118122	-0.6588978598192884	0.4967393639130427	0.9434400282995674	1	1
spliceosomal snRNP assembly	GO:0000387		32	4	4.882512244309997	-0.19936553044084815	0.7476297977380751	0.6923101918247248	1	1
mRNA 3'-splice site recognition	GO:0000389		5	1	0.762892538173437	0.2706380988048874	1.0850191594141116	0.5630293099809426	1	1
RNA splicing, via endonucleolytic cleavage and ligation	GO:0000394		8	1	1.2206280610774993	-0.19936553044084815	0.7476297977380751	0.7341298389768208	1	1
mRNA splicing, via spliceosome	GO:0000398		181	27	27.61670988187842	-0.022584154022508848	0.8654946770104833	0.46857781016621225	1	1
autophagy of mitochondrion	GO:0000422		31	3	4.72993373667531	-0.4552989045780489	0.5979784100449866	0.8723877413544672	1	1
mitophagy	GO:0000423		25	3	3.814462690867185	-0.24018752496110315	0.7220763487578736	0.7574889141993435	1	1
pexophagy	GO:0000425		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
maturation of 5.8S rRNA	GO:0000460		10	1	1.525785076346874	-0.4225090817550579	0.6157465744382757	0.7747146194223954	1	1
small nucleolar ribonucleoprotein complex assembly	GO:0000491		6	0	0.9154710458081244	-Inf	0	1	1	1
box C/D snoRNP assembly	GO:0000492		5	0	0.762892538173437	-Inf	0	1	1	1
embryonic axis specification	GO:0000578		9	2	1.3732065687121868	0.37599861446271365	1.170357932931198	0.40945159541222576	1	1
telomere maintenance via recombination	GO:0000722		8	2	1.2206280610774993	0.49378165011909714	1.269213771010429	0.35098742461525434	1	1
telomere maintenance	GO:0000723		65	4	9.917602996254681	-0.9080168975367586	0.3931191210349468	0.9885339917305037	1	1
double-strand break repair via homologous recombination	GO:0000724		76	5	11.595966580236244	-0.841219416613243	0.4188313458037235	0.9936806723125843	1	1
recombinational repair	GO:0000725		78	5	11.901123595505618	-0.8671949030165035	0.4086585865044703	0.9950055821578394	1	1
DNA double-strand break processing	GO:0000729		17	1	2.593834629789686	-0.9531373328172282	0.37656660128909625	0.9401481087165202	1	1
DNA synthesis involved in DNA repair	GO:0000731		31	4	4.72993373667531	-0.1676168321262679	0.7679406726783391	0.7175143784637479	1	1
syncytium formation by plasma membrane fusion	GO:0000768		13	4	1.9835205992509364	0.7014210148973417	1.4510419168984379	0.07312072147002514	1	1
sister chromatid segregation	GO:0000819		112	3	17.08879285508499	-1.739810571387997	0.17466419959960958	0.999997067172958	1	1
cell morphogenesis	GO:0000902		114	16	17.393949870354366	-0.08353371491572648	0.8235561103295187	0.6673378564653323	1	1
cytokinesis	GO:0000910		69	6	10.527917026793432	-0.5622710241302167	0.5428551864387786	0.9546520807355449	1	1
nuclear-transcribed mRNA catabolic process	GO:0000956		62	2	9.45986747335062	-1.5539111932461585	0.20987530333834462	0.9994356288033086	1	1
mitochondrial RNA catabolic process	GO:0000957		6	0	0.9154710458081244	-Inf	0	1	1	1
mitochondrial RNA metabolic process	GO:0000959		35	1	5.340247767214059	-1.675272050250426	0.18617977473470473	0.9964284977195595	1	1
mitochondrial RNA processing	GO:0000963		18	0	2.7464131374243737	-Inf	0	1	1	1
mitochondrial RNA 3'-end processing	GO:0000965		7	0	1.0680495534428118	-Inf	0	1	1	1
RNA 5'-end processing	GO:0000966		22	2	3.356727167963123	-0.5178192615593828	0.5652359489391813	0.8523840410895829	1	1
response to acid chemical	GO:0001101		38	0	5.797983290118122	-Inf	0	1	1	1
promoter clearance during DNA-templated transcription	GO:0001109		7	0	1.0680495534428118	-Inf	0	1	1	1
RNA polymerase II promoter clearance	GO:0001111		7	0	1.0680495534428118	-Inf	0	1	1	1
formation of extrachromosomal circular DNA	GO:0001325		10	1	1.525785076346874	-0.4225090817550579	0.6157465744382757	0.809106161436087	1	1
guanine nucleotide transport	GO:0001408		8	0	1.2206280610774993	-Inf	0	1	1	1
skeletal system development	GO:0001501		141	17	21.513569576490926	-0.23547053508296445	0.7249966107464982	0.8694176251916921	1	1
ossification	GO:0001503		48	3	7.3237683664649955	-0.8925127110007934	0.39895718349134335	0.9837547656994187	1	1
neurotransmitter uptake	GO:0001504		19	1	2.898991645059061	-1.0643629679274527	0.3384489924857056	0.9570345903174617	1	1
action potential	GO:0001508		54	7	8.23923941227312	-0.1629978862699732	0.7709272808911289	0.7182134066691046	1	1
RNA methylation	GO:0001510		47	1	7.171189858830309	-1.9700715904710708	0.1389988481628646	0.9994245501700989	1	1
prostaglandin biosynthetic process	GO:0001516		13	2	1.9835205992509364	0.008273834337396398	0.8872361560968771	0.6118304430553037	1	1
pseudouridine synthesis	GO:0001522		12	1	1.8309420916162489	-0.6048306385490125	0.5221191247758665	0.8629445911746603	1	1
retinoid metabolic process	GO:0001523		55	8	8.391817919907808	-0.04781563231364729	0.8479701230246428	0.477672868719226	1	1
angiogenesis	GO:0001525		88	8	13.426908671852493	-0.5178192615593828	0.5652359489391813	0.9652615297166558	1	1
cilium or flagellum-dependent cell motility	GO:0001539		40	0	6.103140305387496	-Inf	0	1	1	1
ovarian follicle development	GO:0001541		6	0	0.9154710458081244	-Inf	0	1	1	1
fatty acid alpha-oxidation	GO:0001561		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.48433119482277986	1	1
response to protozoan	GO:0001562		5	2	0.762892538173437	0.9637852793648327	1.691469589493727	0.11287009686051698	1	1
blood vessel development	GO:0001568		113	13	17.24137136271968	-0.2823624500118161	0.6963443865250575	0.8901658807520196	1	1
vasculogenesis	GO:0001570		10	1	1.525785076346874	-0.4225090817550579	0.6157465744382757	0.809106161436087	1	1
ganglioside metabolic process	GO:0001573		15	3	2.2886776145203114	0.2706380988048874	1.0850191594141116	0.40704366442904627	1	1
ganglioside biosynthetic process	GO:0001574		8	2	1.2206280610774993	0.49378165011909714	1.269213771010429	0.35098742461525434	1	1
microtubule bundle formation	GO:0001578		60	2	9.154710458081246	-1.5211213704231676	0.2167652438699378	0.9994356288033086	1	1
detection of chemical stimulus involved in sensory perception of bitter taste	GO:0001580		33	0	5.035090751944685	-Inf	0	1	1	1
osteoblast differentiation	GO:0001649		22	1	3.356727167963123	-1.210966442119328	0.29366987622927604	0.9738695611679079	1	1
eye development	GO:0001654		53	7	8.086660904638432	-0.14430575325782066	0.7830954301715597	0.6576882976837949	1	1
metanephros development	GO:0001656		5	0	0.762892538173437	-Inf	0	1	1	1
ureteric bud development	GO:0001657		6	2	0.9154710458081244	0.781463722570878	1.5232975471529941	0.22957156151683203	1	1
response to hypoxia	GO:0001666		94	4	14.342379717660618	-1.2769244099111257	0.2753992553291113	0.9997603331358408	1	1
ameboidal-type cell migration	GO:0001667		30	1	4.577355229040623	-1.5211213704231676	0.2167652438699378	0.9930653927743611	1	1
long-chain fatty acid metabolic process	GO:0001676		76	4	11.595966580236244	-1.0643629679274527	0.3384489924857056	0.9977400964781272	1	1
intracellular glucose homeostasis	GO:0001678		19	2	2.898991645059061	-0.3712157873675074	0.6443686244663728	0.8098717002672293	1	1
tRNA 5'-leader removal	GO:0001682		11	2	1.6783635839815616	0.1753279190005625	1.0106081862898586	0.5176752680851263	1	1
histamine metabolic process	GO:0001692		5	1	0.762892538173437	0.2706380988048874	1.0850191594141116	0.5630293099809426	1	1
in utero embryonic development	GO:0001701		7	1	1.0680495534428118	-0.06583413781632542	0.8355960489627585	0.6862370371816249	1	1
formation of primary germ layer	GO:0001704		18	2	2.7464131374243737	-0.31714856609723163	0.6756341074598372	0.7256522429682809	1	1
endoderm formation	GO:0001706		13	2	1.9835205992509364	0.008273834337396398	0.8872361560968771	0.566600506332935	1	1
mesoderm formation	GO:0001707		6	0	0.9154710458081244	-Inf	0	1	1	1
cell fate specification	GO:0001708		6	0	0.9154710458081244	-Inf	0	1	1	1
cell fate determination	GO:0001709		8	1	1.2206280610774993	-0.19936553044084815	0.7476297977380751	0.6297208596737647	1	1
morphogenesis of a polarized epithelium	GO:0001738		16	2	2.4412561221549987	-0.19936553044084815	0.7476297977380751	0.7256522429682809	1	1
morphogenesis of a branching structure	GO:0001763		15	3	2.2886776145203114	0.2706380988048874	1.0850191594141116	0.40704366442904627	1	1
neuron migration	GO:0001764		17	3	2.593834629789686	0.1454749558508815	0.9878825204661779	0.4924145333040696	1	1
membrane raft assembly	GO:0001765		8	2	1.2206280610774993	0.49378165011909714	1.269213771010429	0.35098742461525434	1	1
immunological synapse formation	GO:0001771		5	2	0.762892538173437	0.9637852793648327	1.691469589493727	0.11287009686051698	1	1
myeloid dendritic cell activation	GO:0001773		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
microglial cell activation	GO:0001774		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
leukocyte homeostasis	GO:0001776		10	0	1.525785076346874	-Inf	0	1	1	1
plasma membrane repair	GO:0001778		17	1	2.593834629789686	-0.9531373328172282	0.37656660128909625	0.9016028772397998	1	1
cytokine production	GO:0001816		10	0	1.525785076346874	-Inf	0	1	1	1
negative regulation of cytokine production	GO:0001818		183	18	27.921866897147794	-0.4390383837062683	0.6067382314216172	0.9851016151467897	1	1
kidney development	GO:0001822		46	4	7.018611351195621	-0.5622710241302167	0.5428551864387786	0.9200646183712042	1	1
mesonephros development	GO:0001823		6	2	0.9154710458081244	0.781463722570878	1.5232975471529941	0.22957156151683203	1	1
release of cytochrome c from mitochondria	GO:0001836		10	1	1.525785076346874	-0.4225090817550579	0.6157465744382757	0.809106161436087	1	1
epithelial to mesenchymal transition	GO:0001837		39	8	5.950561797752809	0.2959559067891773	1.105241188808364	0.21449161904253827	1	1
phagolysosome assembly	GO:0001845		7	1	1.0680495534428118	-0.06583413781632542	0.8355960489627585	0.6862370371816249	1	1
complement activation, lectin pathway	GO:0001867		9	1	1.3732065687121868	-0.31714856609723163	0.6756341074598372	0.7747146194223954	1	1
response to yeast	GO:0001878		8	2	1.2206280610774993	0.49378165011909714	1.269213771010429	0.35098742461525434	1	1
receptor recycling	GO:0001881		14	1	2.1360991068856237	-0.7589813183762707	0.4525381956009952	0.9016028772397998	1	1
endothelial cell development	GO:0001885		28	3	4.272198213771247	-0.3535162102681064	0.6544799009827399	0.8227513749271249	1	1
liver development	GO:0001889		10	1	1.525785076346874	-0.4225090817550579	0.6157465744382757	0.7747146194223954	1	1
placenta development	GO:0001890		14	6	2.1360991068856237	1.0327781508517841	1.7562041435333562	0.012485222084541486	1	1
maternal placenta development	GO:0001893		7	0	1.0680495534428118	-Inf	0	1	1	1
tissue homeostasis	GO:0001894		58	7	8.849553442811871	-0.23445685025211835	0.7256252861368293	0.7366846914541407	1	1
retina homeostasis	GO:0001895		26	1	3.9670411985018728	-1.3780205267824943	0.24948099211435132	0.9812438968454873	1	1
cell killing	GO:0001906		119	16	18.1568424085278	-0.12645875963276026	0.794835408243853	0.5764351545077363	1	1
leukocyte mediated cytotoxicity	GO:0001909		38	5	5.797983290118122	-0.1480722360532976	0.780632997986941	0.6610296338045887	1	1
regulation of leukocyte mediated cytotoxicity	GO:0001910		55	7	8.391817919907808	-0.18134702493816987	0.7591101966785833	0.7542927871894859	1	1
negative regulation of leukocyte mediated cytotoxicity	GO:0001911		25	4	3.814462690867185	0.04749454749067764	0.9153528158380424	0.5434019313816402	1	1
positive regulation of leukocyte mediated cytotoxicity	GO:0001912		32	4	4.882512244309997	-0.19936553044084815	0.7476297977380751	0.7411601903343294	1	1
T cell mediated cytotoxicity	GO:0001913		6	0	0.9154710458081244	-Inf	0	1	1	1
regulation of T cell mediated cytotoxicity	GO:0001914		21	5	3.2041486603284355	0.44499148594966526	1.2278483025587204	0.20732456790180567	1	1
negative regulation of T cell mediated cytotoxicity	GO:0001915		7	2	1.0680495534428118	0.6273130427436199	1.3851513340287636	0.29062379462660193	1	1
positive regulation of T cell mediated cytotoxicity	GO:0001916		13	3	1.9835205992509364	0.4137389424455607	1.2016562004910065	0.317835854359905	1	1
regulation of receptor recycling	GO:0001919		15	2	2.2886776145203114	-0.13482700930327698	0.789315868928185	0.6912471806267938	1	1
negative regulation of receptor recycling	GO:0001920		5	0	0.762892538173437	-Inf	0	1	1	1
positive regulation of receptor recycling	GO:0001921		8	2	1.2206280610774993	0.49378165011909714	1.269213771010429	0.35098742461525434	1	1
negative regulation of protein phosphorylation	GO:0001933		93	7	14.189801210025928	-0.7066133328589548	0.4752219586349535	0.9900683794133756	1	1
endothelial cell proliferation	GO:0001935		17	5	2.593834629789686	0.6563005796168722	1.4108024088249354	0.0838120250347834	1	1
regulation of endothelial cell proliferation	GO:0001936		103	10	15.715586286372803	-0.4520678839966023	0.5997109693276359	0.9629171407568062	1	1
negative regulation of endothelial cell proliferation	GO:0001937		34	3	5.187669259579372	-0.5476722247090638	0.5501236047820907	0.9092988843806301	1	1
positive regulation of endothelial cell proliferation	GO:0001938		65	6	9.917602996254681	-0.5025517894285944	0.5730947073599137	0.9449830073694205	1	1
postsynaptic membrane organization	GO:0001941		5	1	0.762892538173437	0.2706380988048874	1.0850191594141116	0.5630293099809426	1	1
hair follicle development	GO:0001942		9	1	1.3732065687121868	-0.31714856609723163	0.6756341074598372	0.7341298389768208	1	1
vasculature development	GO:0001944		128	15	19.53004897723999	-0.2639040515784193	0.7075224729041575	0.8895718260691677	1	1
lymph vessel development	GO:0001945		9	1	1.3732065687121868	-0.31714856609723163	0.6756341074598372	0.7747146194223954	1	1
lymphangiogenesis	GO:0001946		6	0	0.9154710458081244	-Inf	0	1	1	1
heart looping	GO:0001947		7	1	1.0680495534428118	-0.06583413781632542	0.8355960489627585	0.6297208596737647	1	1
regulation of cell-matrix adhesion	GO:0001952		85	11	12.96917314894843	-0.16467997245295812	0.7698387154313893	0.767580623246963	1	1
negative regulation of cell-matrix adhesion	GO:0001953		24	5	3.6618841832324978	0.3114600933251425	1.1177155264707959	0.2992651467655109	1	1
positive regulation of cell-matrix adhesion	GO:0001954		40	5	6.103140305387496	-0.19936553044084815	0.7476297977380751	0.7512543591300558	1	1
regulation of cytokine-mediated signaling pathway	GO:0001959		125	15	19.072313454335927	-0.2401875249611033	0.7220763487578736	0.8516382666387379	1	1
negative regulation of cytokine-mediated signaling pathway	GO:0001960		59	5	9.002131950446557	-0.5880235202326314	0.5302275818595336	0.9535663375010165	1	1
positive regulation of cytokine-mediated signaling pathway	GO:0001961		46	4	7.018611351195621	-0.5622710241302167	0.5428551864387786	0.9200646183712042	1	1
regulation of systemic arterial blood pressure by hormone	GO:0001990		17	4	2.593834629789686	0.4331570283026624	1.2179014729974302	0.2543987285871853	1	1
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	GO:0001991		7	2	1.0680495534428118	0.6273130427436199	1.3851513340287636	0.29062379462660193	1	1
regulation of angiotensin levels in blood	GO:0002002		7	2	1.0680495534428118	0.6273130427436199	1.3851513340287636	0.29062379462660193	1	1
angiotensin maturation	GO:0002003		7	2	1.0680495534428118	0.6273130427436199	1.3851513340287636	0.29062379462660193	1	1
morphogenesis of an epithelium	GO:0002009		80	12	12.206280610774993	-0.01704397364689353	0.8693731750957414	0.5359468538595622	1	1
morphogenesis of an epithelial sheet	GO:0002011		20	4	3.051570152693748	0.2706380988048874	1.0850191594141116	0.3648002165765858	1	1
regulation of the force of heart contraction	GO:0002026		12	1	1.8309420916162489	-0.6048306385490125	0.5221191247758665	0.8629445911746603	1	1
regulation of heart rate	GO:0002027		58	8	8.849553442811871	-0.10092545762759578	0.8118374661155404	0.6370637273534536	1	1
regulation of sodium ion transport	GO:0002028		34	6	5.187669259579372	0.1454749558508815	0.9878825204661779	0.3611984098761771	1	1
desensitization of G protein-coupled receptor signaling pathway	GO:0002029		7	2	1.0680495534428118	0.6273130427436199	1.3851513340287636	0.29062379462660193	1	1
G protein-coupled receptor internalization	GO:0002031		6	2	0.9154710458081244	0.781463722570878	1.5232975471529941	0.22957156151683203	1	1
sprouting angiogenesis	GO:0002040		31	4	4.72993373667531	-0.1676168321262679	0.7679406726783391	0.7175143784637479	1	1
cell migration involved in sprouting angiogenesis	GO:0002042		15	2	2.2886776145203114	-0.13482700930327698	0.789315868928185	0.6912471806267938	1	1
chondrocyte differentiation	GO:0002062		9	1	1.3732065687121868	-0.31714856609723163	0.6756341074598372	0.7747146194223954	1	1
epithelial cell development	GO:0002064		42	4	6.408297320656871	-0.4712992459244898	0.5894573301744811	0.9014117968499684	1	1
columnar/cuboidal epithelial cell differentiation	GO:0002065		14	1	2.1360991068856237	-0.7589813183762707	0.4525381956009952	0.9016028772397998	1	1
regulation of oxidative phosphorylation	GO:0002082		12	0	1.8309420916162489	-Inf	0	1	1	1
protein depalmitoylation	GO:0002084		7	0	1.0680495534428118	-Inf	0	1	1	1
regulation of receptor internalization	GO:0002090		41	4	6.255718813022184	-0.4472016943454293	0.6023278787007771	0.8790110494096202	1	1
negative regulation of receptor internalization	GO:0002091		12	1	1.8309420916162489	-0.6048306385490125	0.5221191247758665	0.8629445911746603	1	1
positive regulation of receptor internalization	GO:0002092		21	1	3.2041486603284355	-1.1644464264844352	0.30723884533328133	0.9691580398532286	1	1
tRNA wobble base modification	GO:0002097		8	0	1.2206280610774993	-Inf	0	1	1	1
tRNA wobble uridine modification	GO:0002098		6	0	0.9154710458081244	-Inf	0	1	1	1
store-operated calcium entry	GO:0002115		8	0	1.2206280610774993	-Inf	0	1	1	1
desmosome assembly	GO:0002159		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
cytoplasmic translation	GO:0002181		100	11	15.25785076346874	-0.32719890195073287	0.6697371685992894	0.9062336609901779	1	1
cytoplasmic translational initiation	GO:0002183		18	3	2.7464131374243737	0.08831654201093278	0.9451802572389942	0.5327555901584377	1	1
somatic diversification of immune receptors	GO:0002200		12	0	1.8309420916162489	-Inf	0	1	1	1
activation of innate immune response	GO:0002218		128	12	19.53004897723999	-0.48704760289262916	0.5811657042866456	0.9763488888540228	1	1
innate immune response activating cell surface receptor signaling pathway	GO:0002220		48	9	7.3237683664649955	0.20609957766731632	1.0343283744425358	0.24062620371842225	1	1
pattern recognition receptor signaling pathway	GO:0002221		94	9	14.342379717660618	-0.4659941936947969	0.5922717463971605	0.9533351217464572	1	1
stimulatory C-type lectin receptor signaling pathway	GO:0002223		16	3	2.4412561221549987	0.20609957766731613	1.0343283744425356	0.45041174423638397	1	1
toll-like receptor signaling pathway	GO:0002224		29	3	4.4247767214059355	-0.3886075300793766	0.6345506064893248	0.8227513749271249	1	1
innate immune response in mucosa	GO:0002227		16	0	2.4412561221549987	-Inf	0	1	1	1
natural killer cell mediated immunity	GO:0002228		31	6	4.72993373667531	0.23784827598189645	1.0591082847897921	0.33221677040998365	1	1
positive regulation of defense response to virus by host	GO:0002230		28	2	4.272198213771247	-0.7589813183762707	0.4525381956009952	0.9330518908135996	1	1
response to molecule of bacterial origin	GO:0002237		103	6	15.715586286372803	-0.962893507762593	0.3730719647681168	0.9989093226699242	1	1
hematopoietic progenitor cell differentiation	GO:0002244		15	3	2.2886776145203114	0.2706380988048874	1.0850191594141116	0.40704366442904627	1	1
adaptive immune response	GO:0002250		58	6	8.849553442811871	-0.3886075300793766	0.6345506064893248	0.8751029938647621	1	1
organ or tissue specific immune response	GO:0002251		19	0	2.898991645059061	-Inf	0	1	1	1
immune effector process	GO:0002252		160	23	24.412561221549986	-0.0596035880656894	0.8398615021424534	0.5923938621580038	1	1
lymphocyte homeostasis	GO:0002260		6	0	0.9154710458081244	-Inf	0	1	1	1
myeloid cell homeostasis	GO:0002262		31	1	4.72993373667531	-1.5539111932461585	0.20987530333834462	0.9941252969552266	1	1
cell activation involved in immune response	GO:0002263		59	7	9.002131950446557	-0.2515512836114184	0.7150760180852662	0.8019838226183119	1	1
leukocyte activation involved in inflammatory response	GO:0002269		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
myeloid leukocyte activation	GO:0002274		59	8	9.002131950446557	-0.11801989098689568	0.800427917808797	0.6772762541343664	1	1
myeloid cell activation involved in immune response	GO:0002275		22	3	3.356727167963123	-0.11235415345121838	0.8041974843854527	0.6419396138514497	1	1
eosinophil activation involved in immune response	GO:0002278		5	1	0.762892538173437	0.2706380988048874	1.0850191594141116	0.5630293099809426	1	1
mast cell activation involved in immune response	GO:0002279		8	2	1.2206280610774993	0.49378165011909714	1.269213771010429	0.29062379462660193	1	1
macrophage activation involved in immune response	GO:0002281		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
neutrophil activation involved in immune response	GO:0002283		5	0	0.762892538173437	-Inf	0	1	1	1
lymphocyte activation involved in immune response	GO:0002285		34	3	5.187669259579372	-0.5476722247090638	0.5501236047820907	0.9092988843806301	1	1
T cell activation involved in immune response	GO:0002286		24	2	3.6618841832324978	-0.6048306385490125	0.5221191247758665	0.9000679320078683	1	1
alpha-beta T cell activation involved in immune response	GO:0002287		19	1	2.898991645059061	-1.0643629679274527	0.3384489924857056	0.9570345903174617	1	1
T cell differentiation involved in immune response	GO:0002292		19	1	2.898991645059061	-1.0643629679274527	0.3384489924857056	0.9570345903174617	1	1
alpha-beta T cell differentiation involved in immune response	GO:0002293		19	1	2.898991645059061	-1.0643629679274527	0.3384489924857056	0.9570345903174617	1	1
CD4-positive, alpha-beta T cell differentiation involved in immune response	GO:0002294		18	1	2.7464131374243737	-1.010295746657177	0.35651104037122416	0.94928917505166	1	1
T-helper cell lineage commitment	GO:0002295		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
natural killer cell activation involved in immune response	GO:0002323		6	1	0.9154710458081244	0.08831654201093278	0.9451802572389942	0.6297208596737647	1	1
response to tumor cell	GO:0002347		20	2	3.051570152693748	-0.4225090817550579	0.6157465744382757	0.784749981019143	1	1
defense response to tumor cell	GO:0002357		11	1	1.6783635839815616	-0.5178192615593828	0.5652359489391813	0.8382492507711831	1	1
T cell lineage commitment	GO:0002360		8	1	1.2206280610774993	-0.19936553044084815	0.7476297977380751	0.7341298389768208	1	1
alpha-beta T cell lineage commitment	GO:0002363		7	1	1.0680495534428118	-0.06583413781632542	0.8355960489627585	0.6862370371816249	1	1
leukocyte activation involved in immune response	GO:0002366		55	6	8.391817919907808	-0.3354977047654283	0.6648972224844057	0.8519903933153106	1	1
immunoglobulin production	GO:0002377		7	0	1.0680495534428118	-Inf	0	1	1	1
mucosal immune response	GO:0002385		17	0	2.593834629789686	-Inf	0	1	1	1
