pert	cell	Tau
vorinostat	SKB	-97.90419161676648
dipyridamole	HA1E	-97.36724676483712
clomifene	VCAP	-96.99640874959192
equol	A549	-96.8089430894309
rilmenidine	VCAP	-96.5883121123082
picotamide	PC3	-96.23735871505056
pirarubicin	ASC	-95.90618336886992
tacrolimus	MCF7	-95.68287594286632
imipramine	PC3	-95.61273051754908
panobinostat	ASC	-95.56503198294244
ingenol	VCAP	-95.5435847208619
tranylcypromine	FIBRNPC	-95.30988274706868
nicardipine	PC3	-94.94348602022606
treprostinil	ASC	-94.92537313432835
xylazine	VCAP	-94.44988573294157
argatroban	PC3	-94.06603212373588
bromocriptine	A549	-94.0650406504065
probucol	MCF7	-93.8051677098379
alfuzosin	HCC515	-93.78109452736318
olmesartan	A549	-93.63821138211382
mephentermine	NPC	-93.17908653846156
bifonazole	VCAP	-93.09500489715964
hyoscyamine	ASC	-93.00639658848614
parachlorophenol	HA1E	-92.8603302097278
dilazep	VCAP	-92.83382304929808
resveratrol	HA1E	-92.8157072735386
nevirapine	A549	-92.76422764227642
levomepromazine	MCF7	-92.7298988926336
prazosin	PC3	-92.6829268292683
azasetron	A549	-92.39837398373984
triclosan	ASC	-92.19616204690831
oxiconazole	A549	-92.1951219512195
loperamide	MCF7	-92.15214251324024
spironolactone	A549	-92.03252032520324
etilefrine	HT29	-91.78593652769136
chloroquine	VCAP	-91.4626183480248
papaverine	PC3	-91.34443783462224
lidoflazine	VCAP	-91.18511263467188
loperamide	ASC	-91.13006396588486
nelfinavir	A549	-91.11788617886178
isradipine	VCAP	-90.97290238328436
chloroxine	HA1E	-90.80767514502452
thiethylperazine	SKB	-90.76133447390932
floxuridine	PC3	-90.6454491374182
digoxin	MCF7	-90.38677579842722
itraconazole	PC3	-90.34800713860795
hexylcaine	A549	-90.30487804878048
flecainide	ASC	-90.2771855010661
homoharringtonine	MCF7	-90.21023912694592
tetrabenazine	VCAP	-90.18935683969964
imipramine	VCAP	-90.09141364675156
mosapride	SKB	-89.99144568006844
nicorandil	MCF7	-89.92136093724923
riboflavin	MCF7	-89.8571657839833
naltrexone	HCC515	-89.80099502487562
olaparib	VCAP	-89.74861247143323
digoxin	A549	-89.73577235772358
procarbazine	SKB	-89.64927288280582
panobinostat	SKB	-89.26432848588537
sunitinib	SKB	-89.17878528656972
pimozide	A549	-89.0040650406504
bendroflumethiazide	HCC515	-88.8681592039801
febuxostat	HCC515	-88.8681592039801
naphazoline	A549	-88.69918699186992
captopril	VCAP	-88.60594188703885
