Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000134321	7042.121830225944	8.933637714303721	0.40718769766743085	21.939851732947588	1.0825398538821676e-106	4.786991233866946e-103	91543	RSAD2
ENSG00000137959	2335.819232945577	8.523098233527794	0.43935352175002534	19.399180413027615	7.841149646609527e-84	1.7336781868653666e-80	10964	IFI44L
ENSG00000169248	448.6477365267801	7.806277507461141	0.6151747555761915	12.689528360359233	6.7591578779813145e-37	2.6372643649794153e-34	6373	CXCL11
ENSG00000185885	1093.509155821602	7.547011479331038	1.250452154587621	6.035426027011742	1.5854384531744092e-9	1.274692516352225e-7	8519	IFITM1
ENSG00000169245	666.4454916282003	6.963431012288905	0.540076448124812	12.893417286509134	4.902244303181174e-38	2.0322866539375452e-35	3627	CXCL10
ENSG00000185745	10475.512438811364	6.485206449133423	0.37340704155488924	17.367659758446536	1.4502110142889115e-67	2.4048124144445877e-64	3434	IFIT1
ENSG00000165949	345.43682063476155	6.407259922009537	0.9022931424273429	7.1010845818608015	1.2378158792682896e-12	1.415591849514925e-10	3429	IFI27
ENSG00000088827	4890.390999896891	6.399995153404841	0.2570373108607158	24.89909006584998	7.610931223141529e-137	5.048330680309776e-133	6614	SIGLEC1
ENSG00000035720	28.604010493165863	6.384144184570793	1.17635469101357	5.427057190608124	5.729077540947522e-8	3.4081588635968535e-6	26228	STAP1
ENSG00000132274	2142.8141263268317	6.065799663573983	0.6439584893106393	9.419550738538211	4.5302219343572875e-21	9.693213577610287e-19	10346	TRIM22
ENSG00000274933	5.687174174413688	5.92141577945539	2.988675716595764	1.981284134164997	0.04755941862233931	NA	102724862	TBC1D3I
ENSG00000180921	34.78769481604677	5.636428665823262	2.431140292820557	2.318430031565146	NA	NA	286077	FAM83H
ENSG00000119922	4314.152996072274	5.60137390760957	0.41196826487499527	13.59661504341654	4.193993444400716e-42	2.0606487790155518e-39	3433	IFIT2
ENSG00000134326	3356.8744274395217	5.600014523761602	0.26154978899819226	21.410892913395955	1.0576674372675135e-101	3.5077540556977086e-98	129607	CMPK2
ENSG00000243649	31.787203636698738	5.527756506809484	0.8438319734362717	6.550778686779584	5.7237832033127255e-11	5.6245709611219715e-9	629	CFB
ENSG00000135114	1563.9465640675091	5.520040581081447	0.36619271111030144	15.074141056343274	2.3961179337530392e-51	1.5136619290079913e-48	8638	OASL
ENSG00000137965	1700.5567079165703	5.308378844657294	0.2131510057326343	24.90431056804795	6.681731615761391e-137	5.048330680309776e-133	10561	IFI44
ENSG00000198739	3.6965204936073506	5.293408887670739	1.670782803674027	3.16822083398908	0.00153374969561877	NA	347731	LRRTM3
ENSG00000133106	2088.842275146802	5.156112784757175	0.3119958956597526	16.52621991662409	2.375838018203142e-61	2.4244513191909907e-58	94240	EPSTI1
ENSG00000119917	8949.620614869867	4.922046995045296	0.30500446121846914	16.137622956012187	1.3878414193940662e-58	1.227406951312112e-55	3437	IFIT3
