Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000169245	437.606784413928	7.9419034139459095	0.386074694145906	20.570898674194098	5.003033882485221e-94	2.1425799327253465e-92	3627	CXCL10
ENSG00000134321	28477.348175798452	7.03544260470093	0.07809407442867038	90.08932695818001	0	0	91543	RSAD2
ENSG00000168062	277.3522143080218	6.935163001114271	0.34253524024100535	20.246567904180427	3.8086930154089466e-91	1.5878309846997987e-89	116071	BATF2
ENSG00000151790	98.63881619252221	6.885122900131319	0.5624858277493389	12.240526890571799	1.888029814827988e-34	2.2932121019823407e-33	6999	TDO2
ENSG00000136244	2800.5050053894684	6.5099038320013225	0.10168625468188944	64.01950639608671	0	0	3569	IL6
ENSG00000156587	2350.779403782362	6.431569245933869	0.11141636674030461	57.72553381609476	0	0	9246	UBE2L6
ENSG00000136514	388.1201909692146	6.4167631194098425	0.2511903552996421	25.545419973451445	6.17331892053437e-144	4.62028826066851e-142	64108	RTP4
ENSG00000168961	792.026021007086	6.260064236834775	0.17417636505033898	35.940951202107954	7.0087075466929075e-283	1.2808820524578188e-280	3965	LGALS9
ENSG00000132274	4353.047201597058	5.984222804578405	0.07992437735248079	74.87356176935747	0	0	10346	TRIM22
ENSG00000131203	1276.7024250315044	5.843521994559886	0.12362447408192857	47.2683264212494	0	0	3620	IDO1
ENSG00000169248	473.6427493285231	5.7501286548494965	0.19766755921107673	29.08989556910194	4.818461561814966e-186	5.151820433132369e-184	6373	CXCL11
ENSG00000169271	23.36937090054191	5.588932260322096	0.7734987937803967	7.225521623643081	4.991820313864414e-13	2.1945857307134825e-12	8988	HSPB3
ENSG00000105617	86.35474757357787	5.583797669864412	1.2133535741898747	4.601954276676995	4.1854509936607064e-6	1.0453318491556543e-5	79165	LENG1
ENSG00000117228	826.2271283673678	5.570552857729921	0.13402605121101746	41.56320959541931	0	0	2633	GBP1
ENSG00000123609	1772.3926044223997	5.406288839886365	0.13651717066331254	39.601530075800525	0	0	9111	NMI
ENSG00000162892	113.34230352322115	5.402180609557411	0.3496541117435182	15.450070306966884	7.536120955192627e-54	1.615896494580662e-52	11009	IL24
ENSG00000128284	247.38835705629492	5.291552726754963	0.22849761942669447	23.158021252175775	1.2069279127057497e-118	7.185335607574344e-117	80833	APOL3
