Ensembl	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val	GeneID	Symbol
ENSG00000126353	206.30694174697584	8.098150905064761	1.0828104725198564	7.47882580616273	7.498959212906584e-14	4.125677393634105e-11	1236	CCR7
ENSG00000115009	581.4496639164577	7.816040503630122	1.02443379812718	7.629619910939121	2.3544684432374784e-14	1.5165073816833007e-11	6364	CCL20
ENSG00000123610	782.4713280687786	7.527097829506137	0.8269799726038205	9.101910661519886	8.875643121350073e-20	2.9298497943576593e-16	7130	TNFAIP6
ENSG00000125538	7272.65173073151	7.483941837702697	0.9833010588869052	7.6110381149945106	2.719030249720904e-14	1.631912518968855e-11	3553	IL1B
ENSG00000276070	1524.3799077713284	7.405985701360244	0.8565707740493598	8.646087312025749	5.329534149107232e-18	9.382822520641585e-15	9560	CCL4L2
ENSG00000169248	1634.8372383703252	7.396440313751016	1.4110142241883854	5.241931787048741	1.5890411802605435e-7	1.3580388183922471e-5	6373	CXCL11
ENSG00000131203	836.8995266809302	6.8316020439867575	1.336000890245269	5.113471176454517	3.16292037520776e-7	2.4494545826535635e-5	3620	IDO1
ENSG00000275302	12063.92806510332	6.778547326014529	0.7793139506147441	8.698095704134934	3.3749985048593413e-18	6.855920039717345e-15	6351	CCL4
ENSG00000232810	393.7957506774824	6.635521271047904	0.9816125000124486	6.7598174136573785	1.3816574808053367e-11	4.0540900836785925e-9	7124	TNF
ENSG00000185745	40625.042053971	6.428136789241631	1.2004517478663042	5.354764821382509	8.566776752306009e-8	8.1672000171443e-6	3434	IFIT1
ENSG00000128271	856.7851960811566	6.261443941828188	0.9907676161500317	6.31979067519302	2.6191784335757e-10	5.716302816022073e-8	135	ADORA2A
ENSG00000119922	45297.35809710628	6.175987047773161	1.1548891337679876	5.347688247462453	8.908473699204942e-8	8.401963337450148e-6	3433	IFIT2
ENSG00000108700	2480.9737920022358	6.173600648756822	1.106826079864724	5.577751338775246	2.43647601315044e-8	2.8097143473920005e-6	6355	CCL8
ENSG00000035720	285.2782805556551	6.1608851613365765	1.199649697913374	5.135570135225801	2.812899510139929e-7	2.2042448149488205e-5	26228	STAP1
ENSG00000136244	246.0557882479591	6.11938231599277	0.8924477987166841	6.85685182348175	7.0394579117251474e-12	2.238980894089297e-9	3569	IL6
ENSG00000102794	72.40246279291834	6.114926974173281	1.1234197292951924	5.44313653634127	5.235048925317427e-8	5.276609619075673e-6	730249	ACOD1
ENSG00000271503	2249.7553251182935	5.884772565150265	0.6363318333406831	9.247961923035902	2.288138251160591e-20	8.63216499094984e-17	6352	CCL5
ENSG00000159166	67.96448069173901	5.864615324558348	0.7694115265023254	7.622208821355139	2.493711811819255e-14	1.5444536497827076e-11	3898	LAD1
ENSG00000078081	1112.2295658604087	5.8403336511474455	0.6293224257080142	9.280352030323446	1.689195313922433e-20	8.63216499094984e-17	27074	LAMP3
ENSG00000187608	17284.707632558693	5.640650800748164	1.124470920834677	5.016270937945818	5.268402058873836e-7	3.755572011975471e-5	9636	ISG15
ENSG00000115008	96.17939718168397	5.631735636559763	1.0773410527121396	5.227439929428305	1.718732121963166e-7	1.4641379960259125e-5	3552	IL1A
ENSG00000135114	4491.348465923123	5.60575245894005	1.061784028063875	5.279559977147083	1.2949448708232366e-7	1.143709168852844e-5	8638	OASL
ENSG00000108691	6527.089688043886	5.534734053063592	0.8998619742258946	6.150647778871689	7.716711903084538e-10	1.47668788359896e-7	6347	CCL2
ENSG00000163661	350.41180095491666	5.4471128939971285	0.8181845574612562	6.657560136430549	2.7841050547570637e-11	7.991591987611363e-9	5806	PTX3
ENSG00000172548	116.70054126947925	5.39667141154598	1.0533636993318387	5.123274529936007	3.0027465897773557e-7	2.339130735777003e-5	348938	NIPAL4
ENSG00000119917	28999.547733846768	5.395486078349767	1.0722085208568464	5.032123857808936	4.850756932227314e-7	3.5044838204296884e-5	3437	IFIT3
ENSG00000131979	4129.190604040032	5.386680788393042	0.5218416992372041	10.322442220058225	5.578581388317669e-25	1.47319177302693e-20	2643	GCH1
ENSG00000121858	1788.2942836225907	5.339483313544779	1.2075004927772917	4.42193054618453	9.782290426074339e-6	3.9804426128161967e-4	8743	TNFSF10
ENSG00000266709	80.00470403657384	5.300120630780703	0.6954516005459901	7.621120760408987	2.5148253158382473e-14	1.5444536497827076e-11	84815	MGC12916
ENSG00000154099	769.6365568297474	5.206122319806104	0.6075944275391263	8.568416831753865	1.0491742333543555e-17	1.6297995973189308e-14	123872	DNAAF1
ENSG00000056558	11697.761319945661	5.20067481966676	0.7064747162980449	7.361445073248337	1.819298735027264e-13	9.420400195019604e-11	7185	TRAF1
ENSG00000136514	229.90922831272837	5.154409975047824	1.2370465782440911	4.166706464977398	3.0903200505130584e-5	0.0010039145996272748	64108	RTP4
ENSG00000128284	551.4474652257169	5.074208834783449	1.020011658305877	4.974657685002475	6.536303993783665e-7	4.518605127430341e-5	80833	APOL3
ENSG00000185885	2437.2858526118544	5.062770797861146	1.1794359018114007	4.292535770774523	1.766440812550364e-5	6.372700680031422e-4	8519	IFITM1
ENSG00000163082	1348.2951063940163	5.034970052128043	0.7076328239664296	7.115229652443177	1.1172664336608243e-12	4.758834190341137e-10	130367	SGPP2
ENSG00000110848	32.833294582436174	4.988649022453505	1.1357290530411506	4.392464038051471	1.1207317263103e-5	4.4239586589540214e-4	969	CD69
ENSG00000258872	17.815178669564713	4.92813734218954	0.8575185310480667	5.74697474603415	9.08542926879872e-9	1.2496250840126905e-6	2227	FDPSP3
ENSG00000184979	3402.659329049277	4.912362723999637	1.0735344856097668	4.575877896655941	4.742270931239334e-6	2.2605395442629666e-4	11274	USP18
ENSG00000160326	3104.1342548228454	4.902055775876219	0.5180566063581727	9.4623941007849	3.0097181667677677e-21	2.6493545782667734e-17	11182	SLC2A6
ENSG00000117228	873.5995631735373	4.873721791560798	0.9792574669350355	4.976956475823456	6.459183833123895e-7	4.477011198559995e-5	2633	GBP1
ENSG00000166016	676.0206558450519	4.78682648482743	0.7463277941729605	6.413839230162838	1.4189985224575553e-10	3.406628452823556e-8	25841	ABTB2
ENSG00000275718	47.91438741653114	4.774954680667968	0.9192807124330774	5.194229157740084	2.055698037289009e-7	1.696464805272755e-5	6359	CCL15
ENSG00000137507	384.79496684120545	4.769758868885131	0.4721123846736448	10.103015772785335	5.35689788214388e-24	7.073247963582779e-20	2615	LRRC32
ENSG00000121594	1327.8597783250723	4.736496914309757	0.5417621414186989	8.742760987149104	2.2748160100965066e-18	5.461212835875322e-15	941	CD80
ENSG00000184557	846.5904594664057	4.687561748872668	0.6067277558811353	7.7259721570921736	1.1100289219843935e-14	8.142678825489962e-12	9021	SOCS3
ENSG00000288658	107.61614960910904	4.686719099278019	0.7600551014710469	6.166288589086658	6.991144267423716e-10	1.3476068453585802e-7	122319436	LOC122319436
ENSG00000167034	67.90136651807254	4.669755878261292	0.882892906190308	5.28915324329803	1.2288390662364964e-7	1.1000400698702847e-5	4824	NKX3-1
ENSG00000163666	488.6797106766523	4.669655583452783	1.0288558114825257	4.538688056515967	5.660530089579392e-6	2.5951958091252186e-4	8820	HESX1
ENSG00000162692	352.64893520696893	4.66228438068487	0.5734383166044522	8.130402600740112	4.2786697650591485e-16	4.3458119675262305e-13	7412	VCAM1
ENSG00000166165	684.2018306956053	4.660323572649846	0.5917646304554015	7.875299287595851	3.3992816301620513e-15	2.992274309643982e-12	1152	CKB
ENSG00000008056	91.72469796428423	4.600039874706271	0.8609750151481438	5.342826207232929	9.150848983266693e-8	8.59984412633832e-6	6853	SYN1
ENSG00000010030	219.42890256738428	4.596123750711538	1.0749879298719658	4.27551195971005	1.906985629460057e-5	6.793221484575383e-4	51513	ETV7
ENSG00000153898	1827.0712720096906	4.5932649831629355	0.5305613365057437	8.657368464528531	4.827801407528071e-18	9.106612826428665e-15	255231	MCOLN2
ENSG00000234285	30.262014774059423	4.577286288331183	1.0652415253814134	4.296946916984174	1.7316664218117524e-5	6.264362584548597e-4	100421189	GAPDHP49
ENSG00000110047	6608.148661006136	4.573492677412055	0.6232735527936261	7.337857762314516	2.170396412232144e-13	1.1022274702735858e-10	10938	EHD1
ENSG00000125430	916.5118152227247	4.550242181999445	0.6370037835588058	7.143194906281719	9.118618286704251e-13	4.151801236470446e-10	9953	HS3ST3B1
ENSG00000108688	18.397294599600574	4.548227735770349	0.9802964354998348	4.639645285919348	3.4900770361000426e-6	1.7465199887603498e-4	6354	CCL7
ENSG00000168062	920.8457561749864	4.529608080670426	1.1187010979333378	4.048988678958408	5.1439432731176826e-5	0.0015058205994050303	116071	BATF2
ENSG00000081041	1480.8910027616048	4.521435535408567	0.7914692090973937	5.712711857186329	1.1118985925123044e-8	1.460846668212186e-6	2920	CXCL2
ENSG00000105246	1595.025366088254	4.517895574793188	0.4879658544118775	9.25863056594072	2.0707086827689788e-20	8.63216499094984e-17	10148	EBI3
ENSG00000164236	441.788630140789	4.510783270711262	0.72890875244566955	6.188405963814354	6.077564542117401e-10	1.1888616624313802e-7	651746	ANKRD33B
ENSG00000157601	42078.57348000995	4.490516630721331	0.9365648399076519	4.794667106192144	1.629451878605507e-6	9.415878601797425e-5	4599	MX1
ENSG00000158517	3166.7722552847586	4.4824495227483165	0.7489440068719414	5.985026225751948	2.1635499800238993e-9	3.662501786696867e-7	653361	NCF1
ENSG00000137959	4960.5884089660685	4.482026727608717	1.0978671821659558	4.082485386589509	4.4556614600320904e-5	0.0013371034981423573	10964	IFI44L
ENSG00000181374	4460.928225834162	4.395970418771052	0.7409172129987507	5.933146567049002	2.9718332976741165e-9	4.7277213087336187e-7	6357	CCL13
ENSG00000183486	9695.014859927898	4.356981991980606	0.9817941920356392	4.437775276452692	9.089344081082103e-6	3.744639602078256e-4	4600	MX2
ENSG00000163734	1398.812774428584	4.343502962597561	0.8831705021782115	4.918079750042538	8.739730802076455e-7	5.670732457524201e-5	2921	CXCL3
ENSG00000023445	4775.913511919853	4.330244539016725	0.5199396759315966	8.328359499124689	8.1970276449114215e-17	9.839413911219127e-14	330	BIRC3
ENSG00000149798	140.44147975907438	4.293254465948792	0.8074076190530851	5.31733211904026	1.052997629056213e-7	9.621993559901895e-6	10435	CDC42EP2
ENSG00000004468	564.2394546778198	4.292603481074437	0.7541159908008366	5.692232406470905	1.253890189792985e-8	1.6152552259538122e-6	952	CD38
ENSG00000138755	44.60975675830908	4.287912719359944	1.107654700063328	3.8711637472533553	0.00010831699680160177	0.0026833351327736395	4283	CXCL9
ENSG00000134321	5988.105188996766	4.2709042896669605	1.0773644558350133	3.964214956726773	NA	NA	91543	RSAD2
