,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
NPC.TAK,0.0,-0.0,-0.0,0.0,-0.06579878,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.025397537,-0.020657452,-0.0,-0.0526941,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.042144943,-0.025974076,-0.0,-0.0027276424,-0.06980291,0.0,-0.0,-0.0,-0.069216736,-0.050260186,0.0,-0.03631296,-0.0,-0.0,-0.02636278,-0.0,0.0,-0.0,0.0,-0.002335107,-0.0,-0.0,-0.0,-0.0,-0.0032253247,-0.0,0.0,-0.0,-0.0,-0.045657706,-0.0017922963,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.00638379,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.030113306,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.004910367,0.0,-0.028353456,0.0,-0.037963815,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.039868053,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.006953081,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.058422584,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.032517236,0.0,0.0,-0.0,0.0,-0.0,-0.0
MNEU.E,0.0,-0.013881184,0.039914127,-0.024819758,-0.04885813,-0.0,-0.0,0.0,-0.019876124,-0.049348135,-0.0,-0.0,-0.09057527,0.0,0.068411924,-0.0,-0.0,-0.0070920223,0.0,0.0120050125,0.0,-0.0,-0.04370962,-0.0,-0.0,-0.0,-0.05720832,-0.0,0.0,0.046234306,0.0013935424,0.09707702,0.0,0.0,0.03931637,-0.0,0.018056324,0.01262578,0.0,0.0,0.0,0.0,0.014363125,0.057597797,0.031900864,-0.0,0.0,0.0,0.0,0.022555389,0.0,0.0,0.0079912795,0.0,0.0,0.022828972,0.0,0.011801612,0.02324792,-0.0,0.0,-0.0,-0.0,0.0,0.02792883,0.0,0.0,0.0011362726,0.0,0.0,0.0023308056,0.0,0.0,0.040194333,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.12571035,0.0,-0.021394337,-0.01269573,-0.0,-0.0,0.0,-0.0,0.0,0.019322962,0.0,0.0,0.06932328,0.022231981,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.020514663,-0.0,0.0,-0.0,0.0,0.011632054,0.0,-0.0,0.054117776,-0.0,0.0,0.0,0.0,0.013455828,0.0010119297,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.038730726,-0.0,-0.0,-0.0015723271,0.0,-0.0,0.0,-0.0,-0.0,-0.013732712,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.036896687,-0.0,0.0,0.012526577,0.0,-0.0,0.020494811,-0.0,-0.0,-0.0076181786,0.004238673,-0.0,0.059178878,-0.0,0.0,-0.0,0.0,-0.024565428,0.0
HCC515,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.008891998,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0026147494,0.018706493,-0.0,-0.11260789,-0.0,0.0,-0.0,-0.0,-0.0065582693,0.0,0.0,0.0,0.0,-0.0,-0.036574334,-0.006978472,-0.0,-0.0,0.0,-0.0,-0.0,-0.0047069644,-0.0,-0.113481715,-0.0,-0.0,-0.048809312,-0.017378408,-0.0,-0.0,0.0,-0.0,-0.004852496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0037151428,-0.0,-0.0,-0.0058770305,-0.0,-0.0,-0.0,-0.06376015,-0.055056415,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.012851861,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.028338706,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0073124315,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0039052542,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.017377486,-0.0,-0.0,0.0,0.0,0.0,0.0012249689,0.0,0.030336292,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.015469861,-0.0,0.0,0.0,0.0,0.0
SKBR3,-0.0,0.0,0.0,-0.0,0.0,0.021334937,0.019314487,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0008635932,0.0,-0.019726237,-0.0,-0.011975075,-0.0,0.0,0.0,0.040670034,0.00022390642,0.0,0.0,-0.0,0.018333305,-0.0,0.04381489,0.0,0.0,-0.023652121,0.026939513,0.0,-0.0,0.0077370387,0.0,-0.0,0.0,0.011629191,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.014322245,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.034002338,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.043666415,0.052416988,0.0,-0.0,0.0,0.004883224,-0.027397096,0.0,0.0,0.065330006,-0.03192921,0.0,0.009102178,-0.04059627,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0131395105,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0029748792,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
CD34,0.07486506,0.13428406,0.12874217,0.12444225,0.15491568,0.117153525,0.098911345,0.11957315,0.06989319,0.108292684,0.15056892,0.09866467,0.11802175,0.11340203,0.030388111,0.059259985,0.10461807,0.17210142,-0.0,-0.0,-0.0,0.07017105,0.022378178,0.05329549,0.067021206,0.006480634,0.058444913,-0.0,0.0,0.028209545,0.008442165,0.02337007,0.105223246,0.05992652,0.03541794,0.0795659,0.06573177,0.07210707,0.07510859,0.05618388,0.041499883,0.056348894,0.05912433,0.084289245,0.018929945,0.03144902,0.0,0.14401813,0.080938876,0.09699912,0.073870674,0.15299852,0.038075868,0.06821006,0.01956292,0.034039166,0.08000179,0.19808742,0.12447541,0.07056574,0.084262595,0.04287028,0.052863434,0.009582976,0.050095193,0.0,0.10882758,0.078229524,0.07008828,0.10861331,0.0786544,0.07008828,0.042199023,0.10256578,0.083949,0.0,0.0049582333,-0.0,-0.0,-0.0052293935,0.021435484,-0.0,0.0,-0.0,-0.0,0.073749855,-0.0079355845,-0.0,0.017841214,0.057340648,0.06514089,0.0,0.08016159,0.03225125,0.0018513346,0.04940889,0.086953975,0.025887087,0.0,0.002529008,0.0,0.0064505804,0.056577306,0.038489785,0.07665741,0.11890248,0.034834366,0.0,0.0669522,0.014417644,0.060921445,0.037917152,0.018664706,-0.0,0.14082104,0.020217288,0.045459628,0.06485308,0.10048614,-0.025527338,-0.0,-0.011392532,-0.0,0.0,0.05724786,-0.0,-0.0,-0.004587242,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.02497688,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0031424118,-0.0,-0.0,-0.0,0.0,0.0,0.024987644,-0.0,0.0,0.0,-0.0,-0.008987571,0.08560607,-0.0057153115,0.0,0.0,-0.0,0.0,0.07340147,-0.015561166,-0.0,9.442678e-05,0.0,0.0,0.020197192
YAPC,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03995389,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.015386727,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.06625298,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04600433,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.011457538,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.034496147,-0.0,-0.0,0.0,-0.0,-0.0,-0.01641412,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.02871047,0.0,-0.0,0.0
HEPG2,-0.05510689,0.030610269,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.003931806,-0.040355157,-0.008095698,0.0,-0.0,0.0,0.029917337,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.029513827,-0.0066466546,-0.0,-0.052024,-0.15889494,-0.010980857,-0.0,-0.0,-0.0,-0.0,-0.059651386,-0.0,-0.01543899,-0.038991373,-0.0,-0.15140194,-0.007497215,-0.07476429,-0.016713785,-0.0,-0.033469666,-0.010013608,-0.0,-0.0012300654,-0.0,-0.008333549,-0.011023851,-0.049963582,-0.10610502,-0.0,-0.0,-0.0,-0.0,-0.08298127,-0.0,-0.029882092,-0.0,0.0,-0.0010743594,-0.083097786,-0.0023600888,-0.0,-0.08479643,-0.07519425,-0.0,-0.08450316,-0.07519425,-0.018459883,-0.0,-0.0,0.0,0.0,-0.0,-0.006006154,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.016477678,0.0,0.0,-0.0,0.0,0.006051086,-0.0,-0.0,-0.025856217,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.07794546,0.0,-0.026438983,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0041285655,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0197025,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.022402793,0.0,0.0,0.009838443,0.0,0.0,0.0,-0.0,0.006577572,0.0,-0.11500572,-0.0,0.0,-0.0,-0.0,0.0,-0.14740412,0.0,0.0,0.0,-0.0,0.0,-0.0
MCF7,-0.021441914,0.0,-0.0,-0.0,-0.04219248,-0.0,-0.0,-0.0,-0.0,-0.059014965,-0.0,0.0,-0.038648345,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.014200534,-0.0,-0.0,-0.00048767703,-0.0,-0.0,-0.044027902,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.024478687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030357456,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.037845585,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.006202036,0.0,-0.0,-0.0,-0.0,-0.0,-0.005093886,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.00788289,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.027412029,0.0,-0.0,0.0,-0.0,0.0,0.0,0.025128704,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
A549,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.01853166,-0.0,0.0,-0.006172353,-0.0,0.051201515,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.024192601,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01686301,-0.0,-0.013868786,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08186357,-0.0069364803,-0.0,-0.046554253,-0.0,-0.024548616,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.055669446,-0.0,0.0,0.055669446,-0.0,0.0,0.013065691,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.08668836,0.0,-0.041514613,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0122235045,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.028893393,-0.0,0.0,-0.0,-0.0,-0.015849512,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.029527793,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.04956794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.029047567,0.021367822,0.0,-0.0,0.0,0.0,0.0,0.0
HT29,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.012123745,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.00046032947,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.120728396,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.003001552,-0.0,-0.0,-0.0076338705,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.017927824,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.016503315,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0036832392,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
MCF10A,0.007774752,0.0,0.0,-0.020312032,0.0,0.013413205,0.0,0.0,0.0,0.0,0.0,-0.027777338,0.0,0.0,0.0018300121,0.0,-0.0,0.13719499,0.0,0.0,0.0,-0.0,-0.0,0.0,0.01840693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0108638005,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0038242822,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.008812316,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0045699016,0.013356726,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.037376113,-0.0,-0.0,-0.027552942,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.026300123,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
HUES3,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.03901786,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0031382095,0.0,0.0,0.0,-0.0,-0.024280127,0.0,-0.015126543,-0.0,-0.053807415,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.009941175,-0.0015475212,-0.0,-0.021956783,0.0,0.0,-0.020699894,-0.0,-0.0,-0.017843615,0.0,-0.0,0.0,-0.0,-0.0,0.008689264,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.010847369,-0.0,0.0019037954,0.0,-0.0,0.0017277797,0.0,-0.014182094,-0.0018090055,-0.03382217,-0.0,0.0,-0.0,-0.0,0.004662896,-0.0,0.0,0.0,0.0,0.0,0.0,-0.009831761,0.028571185,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.023445975,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02927033,-0.0,-0.00283556,-0.013583021,0.0,-0.0,0.0,-0.0,0.0,0.0013299208,0.0,0.0,-0.0,0.0,-0.026862698,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.015927758,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.008259739,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
MDAMB231,-0.0,0.0,0.0,0.0,0.031554304,0.0,0.0,-0.0,0.08891033,0.0,0.0,-0.0,0.020268057,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.04784153,-0.0,0.0,-0.0032059588,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.02388668,-0.0,0.0,0.0,-0.003788563,-0.0,0.0,-0.0,-0.0,0.0,-0.03310237,0.0,-0.056749716,-0.0,0.0,0.0,-0.01838955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0012262204,0.004308684,-0.0,0.0,0.0,0.022937976,0.0,-0.0,0.0,-0.0,0.0,0.0,0.050818734,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0104972385,-0.0,-0.010040913,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.06004842,-0.0,0.03253067,0.0,-0.0,0.0037004992,0.0,-0.0,-0.0,0.0,-0.0,-0.0012991785,-0.0,0.0,-0.0,-0.0,0.0025566365,-0.0,-0.0,-0.0,-0.0,-0.0,0.009246072,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.013213843,-0.0,-0.0,0.0,-0.00085801614,-0.0,-0.025430866,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.072663404,-0.0,-0.0,0.0,0.08432737,0.0,0.0,0.0,0.0,0.0,0.0
ASC,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.014393432,0.06604225,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.017193126,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.050647534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357557,0.0,0.0,0.023066772,0.0,0.0,-0.0,0.0,0.0,0.06197633,0.0,0.0,0.0,0.0,0.0,0.0,0.0049482435,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.02217112,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.013267266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016490305,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.018776953,0.0,0.0,0.04642264,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.010282923,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.009441366,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
NEU,0.0,-0.0,0.0,-0.031374976,-0.0,-0.09007215,-0.028406376,-0.0,-0.0041010636,-0.0,-0.0,-0.040625405,-0.0,-0.06825984,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.05311484,-0.053582855,-0.13998589,-0.0,-0.01724762,-0.0,-0.0006055252,-0.037529726,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025037061,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.05493442,0.0,0.0,-0.05564727,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.033905756,-0.0079160435,-0.029234752,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.017415602,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0052972087,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.019913794,0.0,-0.0,0.0,-0.0,0.080052994,-0.0035485458,0.0,-0.0,0.0,0.0,0.006186031,0.0,-0.0179384,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.000621905,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0033126941,-0.0
