ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009145	purine nucleoside triphosphate biosynthetic process	80/6325	109/16323	0.7339449541284404	1.8941001559270407	7.4492872399236205	1.8856322232458306e-13	9.530658737736845e-10	9.197303912304621e-10	ALDOA/STOML2/NDUFA7/NDUFA3/ATP5MG/DNAJC30/ADK/ATP5F1C/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/NDUFB3/NDUFV2/DMAC2L/NDUFC1/NDUFB2/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/NDUFB6/NDUFA2/TGFB1/TMSB4X/ATP5PO/NDUFB11/NME3/ATP5PD/NDUFS1/NME6/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/NDUFS6/LIPA/NME2/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/IMPDH1/PARP1/NDUFB9/SDHB/ATP5MC2/TAFAZZIN/SDHA/ATP5ME/NME7/NDUFS8/NDUFS3/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/TREM2/NUDT2/PPARA/SPHK2/ANTKMT/NME4/NME9/PINK1/UQCC3	80
GO:0009060	aerobic respiration	125/6325	194/16323	0.6443298969072165	1.6628295505480626	7.386851894648278	3.1647719535509205e-13	9.530658737736845e-10	9.197303912304621e-10	ACO1/PDHA1/STOML2/NDUFA7/COX10/TEFM/NDUFA3/ATP5MG/FXN/NDUFAF1/DNAJC30/PARK7/ACO2/ATP5F1C/SUCLA2/NDUFAB1/ATP5F1E/PANK2/NDUFA10/COX6A1/IDE/NDUFA5/ATP5PB/UQCRQ/MLXIPL/SDHC/MDH2/SDHD/DNAJC15/NDUFB8/NDUFA9/NDUFB3/NDUFV2/NDUFC2-KCTD14/SURF1/COX7C/COX8A/NDUFC1/NDUFB2/COX4I1/COX5B/NDUFA11/NDUFS4/SLC25A23/NDUFA13/ADSL/SUCLG1/NDUFB6/NDUFA2/CYC1/UQCRC2/IDH3G/MDH1/IDH3B/ATP5PO/NDUFB11/ATP5PD/UQCC2/NDUFS1/UQCRH/UQCRC1/UQCRB/NDUFA12/COX5A/COX6B1/SLC25A14/NDUFC2/UQCR11/SHMT2/UQCR10/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/TMEM135/ATP5F1D/CAT/BLOC1S1/NDUFS6/NIPSNAP2/ATP5F1A/NDUFB1/NDUFB5/ABCD1/NDUFS2/NDUFB9/SDHB/MTFR1L/TAFAZZIN/NNT/MTFR2/SDHA/ATP5ME/PDHB/CHCHD10/AFG1L/COQ9/ATP7A/OXA1L/NDUFS8/ISCU/IDH2/NDUFS3/NDUFB7/NDUFB10/UCN/NDUFS7/MACROH2A1/ATP5IF1/SNCA/ARL2/SUCLG2/IDH1/ANTKMT/SDHAF4/COL6A1/PINK1/UQCC3/TRPV4/ME3/CBFA2T3/MSH2/SIRT3/NUPR1	125
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	79/6325	108/16323	0.7314814814814815	1.8877426438296003	7.3620857056522855	3.605545550215704e-13	9.530658737736845e-10	9.197303912304621e-10	ALDOA/STOML2/NDUFA7/NDUFA3/ATP5MG/DNAJC30/ATP5F1C/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/NDUFB3/NDUFV2/DMAC2L/NDUFC1/NDUFB2/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/NDUFB6/NDUFA2/TGFB1/TMSB4X/ATP5PO/NDUFB11/NME3/ATP5PD/NDUFS1/NME6/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/NDUFS6/LIPA/NME2/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/IMPDH1/PARP1/NDUFB9/SDHB/ATP5MC2/TAFAZZIN/SDHA/ATP5ME/NME7/NDUFS8/NDUFS3/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/TREM2/NUDT2/PPARA/SPHK2/ANTKMT/NME4/NME9/PINK1/UQCC3	79
GO:0009062	fatty acid catabolic process	75/6325	102/16323	0.7352941176470589	1.8975819576842596	7.232622089534252	9.149547993170196e-13	1.7197432301878968e-9	1.659591595336299e-9	AKT2/BDH2/PPARD/ACADVL/ECHDC2/SLC27A4/CPT1B/ILVBL/ETFA/FAAH/DECR1/PLIN5/LONP2/ABHD3/HADHB/PEX2/HADHA/AKT1/MTLN/HSD17B10/ACADM/HACL1/AIG1/SCP2/MLYCD/ECHS1/HSD17B4/ABCD1/ACOT7/LPIN3/GCDH/MCAT/ABCD4/ABCD3/ABCB11/ECI2/ECI1/PHYH/ACAA2/ACAA1/ACAT1/CPT2/ECH1/PCCB/ACOT8/IRS2/ECHDC1/ACOXL/ACAD11/PCK2/ETFB/ACOX2/AUH/PPARA/PEX5/IVD/TYSND1/SLC27A2/CRAT/CROT/ACADS/ACAD10/ALDH1L2/AMACR/HADH/PCCA/CPT1A/MCEE/EHHADH/ACACB/PLA2G15/ETFBKMT/ABHD2/NUDT7/NUDT8	75
GO:0009201	ribonucleoside triphosphate biosynthetic process	81/6325	113/16323	0.7168141592920354	1.849890517331841	7.2105946735087505	1.1104965060829214e-12	1.7197432301878968e-9	1.659591595336299e-9	ALDOA/STOML2/NDUFA7/NDUFA3/ATP5MG/DNAJC30/ATP5F1C/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/NDUFB3/NDUFV2/DMAC2L/NDUFC1/NDUFB2/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/NDUFB6/NDUFA2/TGFB1/TMSB4X/ATP5PO/NDUFB11/NME3/UCK1/ATP5PD/NDUFS1/NME6/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/NDUFS6/LIPA/NME2/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/IMPDH1/PARP1/NDUFB9/SDHB/ATP5MC2/TAFAZZIN/SDHA/ATP5ME/NME7/NDUFS8/NDUFS3/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/TREM2/NUDT2/PPARA/SPHK2/ANTKMT/NME4/NME9/PINK1/UQCC3/CTPS2	81
GO:0006635	fatty acid beta-oxidation	58/6325	73/16323	0.7945205479452054	2.0504282852347173	7.1542076363344	1.301192860167387e-12	1.7197432301878968e-9	1.659591595336299e-9	AKT2/BDH2/PPARD/ACADVL/ECHDC2/CPT1B/ETFA/DECR1/PLIN5/LONP2/HADHB/PEX2/HADHA/AKT1/MTLN/HSD17B10/ACADM/SCP2/MLYCD/ECHS1/HSD17B4/ABCD1/GCDH/MCAT/ABCD4/ABCD3/ABCB11/ECI2/ECI1/ACAA2/ACAA1/ACAT1/CPT2/ECH1/ACOT8/IRS2/ECHDC1/ACOXL/ACAD11/ETFB/ACOX2/AUH/PPARA/PEX5/IVD/TYSND1/SLC27A2/CRAT/CROT/ACADS/ACAD10/ALDH1L2/AMACR/HADH/CPT1A/EHHADH/ACACB/ETFBKMT	58
GO:0009142	nucleoside triphosphate biosynthetic process	85/6325	121/16323	0.7024793388429752	1.8128964818867799	7.138451294807918	1.8882960072015213e-12	1.980194987882963e-9	1.910933505264371e-9	ALDOA/STOML2/NDUFA7/NDUFA3/ATP5MG/DNAJC30/ADK/ATP5F1C/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/NDUFB3/NDUFV2/DMAC2L/NDUFC1/NDUFB2/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/AK1/NDUFB6/NDUFA2/TGFB1/TMSB4X/ATP5PO/NDUFB11/NME3/UCK1/ATP5PD/NDUFS1/NME6/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/DTYMK/NDUFA8/ATP5F1D/NDUFS6/LIPA/NME2/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/IMPDH1/PARP1/NDUFB9/SDHB/ATP5MC2/TAFAZZIN/SDHA/ATP5ME/NME7/NDUFS8/NDUFS3/NDUFB7/NDUFB10/TYMS/NDUFS7/ATP5IF1/TREM2/NUDT2/PPARA/SPHK2/ANTKMT/NME4/NME9/PINK1/UQCC3/CTPS2	85
GO:0046390	ribose phosphate biosynthetic process	113/6325	174/16323	0.6494252873563219	1.67597928308573	7.130099304911314	1.9976746409916398e-12	1.980194987882963e-9	1.910933505264371e-9	MTHFD1/UPRT/ALDOA/STOML2/GUK1/NDUFA7/NDUFA3/ATP5MG/PRPSAP2/DNAJC30/AK2/PRPS1/ADK/ATP5F1C/APRT/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/PAPSS1/NDUFB3/NPR1/GUCY2D/NDUFV2/DMAC2L/NDUFC1/NDUFB2/GMPS/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/ADSL/G6PD/DHODH/AK1/NDUFB6/NDUFA2/TGFB1/TMSB4X/ADCY2/ATP5PO/NDUFB11/PFAS/NME3/UCK1/ATP5PD/NDUFS1/NME6/ADCY3/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/PRPSAP1/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/PAPSS2/NDUFS6/LIPA/NME2/PRPS2/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/IMPDH1/PARP1/NDUFB9/SDHB/DCK/ATP5MC2/ATIC/TAFAZZIN/SDHA/ATP5ME/NME7/NPPA/NDUFS8/NDUFS3/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/ADCY5/TREM2/NUDT2/PPARA/SPHK2/GUCY2F/PYGL/ANTKMT/NME4/NME9/CAD/PINK1/ADCY7/UQCC3/CTPS2/ADCY4/CDA	113
GO:0006754	ATP biosynthetic process	72/6325	98/16323	0.7346938775510204	1.8960329111881908	7.07628037530098	2.7915748068767437e-12	2.459687579836953e-9	2.373654835788763e-9	ALDOA/STOML2/NDUFA7/NDUFA3/ATP5MG/DNAJC30/ATP5F1C/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/NDUFB3/NDUFV2/DMAC2L/NDUFC1/NDUFB2/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/NDUFB6/NDUFA2/TGFB1/TMSB4X/ATP5PO/NDUFB11/ATP5PD/NDUFS1/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/NDUFS6/LIPA/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/PARP1/NDUFB9/SDHB/ATP5MC2/TAFAZZIN/SDHA/ATP5ME/NDUFS8/NDUFS3/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/TREM2/NUDT2/PPARA/SPHK2/ANTKMT/PINK1/UQCC3	72
GO:0006164	purine nucleotide biosynthetic process	121/6325	191/16323	0.6335078534031413	1.6349009788299567	7.02002985412298	4.221882922704928e-12	3.3479531577050083e-9	3.2308514576910347e-9	MTHFD1/ALDOA/STOML2/GUK1/NDUFA7/NDUFA3/ATP5MG/PRPSAP2/DNAJC30/AK2/PRPS1/ADK/ATP5F1C/APRT/NDUFAB1/ATP5F1E/NDUFA10/NMNAT3/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/PAPSS1/NDUFB3/NPR1/GUCY2D/NDUFV2/DMAC2L/NDUFC1/NDUFB2/GMPS/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/ADSL/AK1/NDUFB6/NDUFA2/PARP9/NADK2/TGFB1/TMSB4X/ADCY2/ATP5PO/NDUFB11/PFAS/NME3/ATP5PD/NDUFS1/NME6/ADCY3/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/PARP10/PRPSAP1/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/PAPSS2/NDUFS6/LIPA/NME2/PRPS2/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/IMPDH1/PARP1/NDUFB9/SDHB/DCK/ATP5MC2/ATIC/TAFAZZIN/SDHA/ATP5ME/NME7/NPPA/NDUFS8/NDUFS3/NUDT12/HAAO/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/PARP16/ADCY5/TREM2/NADK/NUDT2/PPARA/NOS3/NMRK1/NAPRT/SPHK2/GUCY2F/ANTKMT/NME4/NMNAT1/NME9/ASPDH/PINK1/ADCY7/UQCC3/AFMID/NMRK2/ADCY4/QPRT	121
GO:0072329	monocarboxylic acid catabolic process	87/6325	126/16323	0.6904761904761905	1.7819198193111236	7.007943443427363	4.748516313312586e-12	3.423248578597164e-9	3.303513262945694e-9	AKT2/BDH2/PPARD/ACADVL/IDS/ECHDC2/SLC27A4/CPT1B/ILVBL/ETFA/FAAH/DECR1/PLIN5/LONP2/ABHD3/HADHB/DCXR/PEX2/HADHA/AKT1/MTLN/IDNK/HSD17B10/ACADM/HACL1/AIG1/AKR1A1/SCP2/MLYCD/XYLB/ECHS1/HSD17B4/IDUA/ABCD1/ACOT7/LPIN3/HEXA/GCDH/MCAT/ABCD4/ABCD3/ABCB11/ECI2/ECI1/PHYH/ACAA2/FAH/ACAA1/SORD/ACAT1/CPT2/ECH1/PCCB/ACOT8/IRS2/ECHDC1/ACOXL/ACAD11/PCK2/ETFB/HEXB/ACOX2/LDHD/AUH/PPARA/PEX5/IVD/TYSND1/SLC27A2/CRAT/CROT/ACADS/ACAD10/CRYL1/ALDH1L2/AMACR/HADH/PCCA/CPT1A/MCEE/EHHADH/ACACB/PLA2G15/ETFBKMT/ABHD2/NUDT7/NUDT8	87
GO:0009152	purine ribonucleotide biosynthetic process	100/6325	153/16323	0.6535947712418301	1.6867395179415638	6.788020265331474	2.105267386505964e-11	1.3912308645826913e-8	1.342569640341961e-8	MTHFD1/ALDOA/STOML2/GUK1/NDUFA7/NDUFA3/ATP5MG/DNAJC30/AK2/ADK/ATP5F1C/APRT/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/PAPSS1/NDUFB3/NPR1/GUCY2D/NDUFV2/DMAC2L/NDUFC1/NDUFB2/GMPS/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/ADSL/AK1/NDUFB6/NDUFA2/TGFB1/TMSB4X/ADCY2/ATP5PO/NDUFB11/PFAS/NME3/ATP5PD/NDUFS1/NME6/ADCY3/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/COX11/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/PAPSS2/NDUFS6/LIPA/NME2/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/IMPDH1/PARP1/NDUFB9/SDHB/ATP5MC2/ATIC/TAFAZZIN/SDHA/ATP5ME/NME7/NPPA/NDUFS8/NDUFS3/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/ADCY5/TREM2/NUDT2/PPARA/SPHK2/GUCY2F/ANTKMT/NME4/NME9/PINK1/ADCY7/UQCC3/ADCY4	100
GO:0015986	proton motive force-driven ATP synthesis	58/6325	76/16323	0.7631578947368421	1.9694903266070316	6.737892403470078	2.698989568964802e-11	1.646383637068529e-8	1.5887979082084298e-8	STOML2/NDUFA7/NDUFA3/ATP5MG/DNAJC30/ATP5F1C/NDUFAB1/ATP5F1E/NDUFA10/NDUFA5/ATP5PB/SDHC/ATP5MC1/SDHD/NDUFB8/NDUFA9/ATP5MC3/NDUFB3/NDUFV2/NDUFC1/NDUFB2/NDUFA11/NDUFS4/ATP5MJ/NDUFA13/NDUFB6/NDUFA2/ATP5PO/NDUFB11/ATP5PD/NDUFS1/NDUFA12/NDUFC2/ATP6V0C/VPS9D1/NDUFV1/ATP5MF/ATPSCKMT/NDUFA1/NDUFA8/ATP5F1D/NDUFS6/ATP5F1A/NDUFB1/NDUFB5/NDUFS2/NDUFB9/SDHB/ATP5MC2/SDHA/ATP5ME/NDUFS8/NDUFS3/NDUFB7/NDUFB10/NDUFS7/ATP5IF1/ANTKMT	58
